,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,ndate,AADailyCases,AA7Day,AADaily100K,AA100k7D,BaltCountyDailyCases,BaltimoreCounty7Day,BaltimoreCountyDaily100K,BaltimoreCounty100k7D,BaltimoreCityDC,BaltCity7Day,BaltCityDaily100k,BaltimoreCity100k7D,HowardDC,Howard7Day,HowardCountyDaily100K,HowardCounty100k7D,CalvertDC,Calvert7Day,CalvertDaily100k,Calvert100k7D,PGDC,PG7Day,PGDaily100k,PG100k7D,HarfordDC,Hardford7Day,Harford100kDaily,Hardford100k7D,MontgomeryDC,Montgomery7Day,Montgomery100kDaily,Montgomery100k7D
759,760,2022/04/13 10:00:00+00,17131,89695,132238,112379,11144,6055,21443,15497,28033,7725,45712,5720,38302,43922,3048,168884,170791,7103,5208,18904,5574,35098,19676,8644,0,2022-04-13 10:00:00+00:00,38.0,46.857142857142854,6.62909019226106,8.174216477675293,46.0,55.285714285714285,5.430932703659977,6.527238994771461,49.0,79.28571428571429,7.9507765799328896,12.864959189104237,32.0,30.428571428571427,9.497775442907981,9.031366827408036,3.0,3.857142857142857,3.17104623385409,4.077059443526687,85.0,76.42857142857143,9.278037684114471,8.34243724538024,8.0,14.428571428571429,3.1318386633312585,5.648494732079591,133.0,151.28571428571428,12.658372418834137,14.398728669758698
760,761,2022/04/14 10:00:00+00,17136,89760,132326,112463,11147,6057,21462,15511,28067,7729,45738,5721,38322,43953,3048,169117,170897,7111,5208,18915,5578,35104,19678,8653,0,2022-04-14 10:00:00+00:00,65.0,49.0,11.339233223604447,8.548037353178737,88.0,62.0,10.38961038961039,7.319952774498228,84.0,81.28571428571429,13.629902708456381,13.189480682162722,31.0,32.0,9.200969960317106,9.497775442907981,3.0,3.857142857142857,3.17104623385409,4.077059443526687,106.0,81.85714285714286,11.57025875901334,8.93498418991192,20.0,14.428571428571429,7.829596658328147,5.648494732079591,233.0,164.71428571428572,22.175945666077844,15.676802791531427
761,762,2022/04/15 10:00:00+00,17139,89818,132428,112540,11156,6059,21479,15519,28093,7732,45770,5721,38347,43981,3049,169340,171028,7115,5210,18930,5580,35113,19684,8656,0,2022-04-15 10:00:00+00:00,58.0,48.0,10.118085030293198,8.373587611277129,102.0,66.28571428571429,12.04250295159386,7.825940293472761,77.0,68.14285714285714,12.494077482751683,11.056910870635534,28.0,30.0,8.310553512544484,8.904164477726232,9.0,4.142857142857143,9.513138701562267,4.379063846750886,131.0,91.14285714285714,14.299093371988185,9.948551331874004,25.0,16.428571428571427,9.786995822910182,6.431454397912406,223.0,176.85714285714286,21.224188341353475,16.83250811441102
762,763,2022/04/16 10:00:00+00,17143,89889,132512,112611,11159,6067,21500,15529,28112,7737,45804,5723,38373,44044,3050,169580,171180,7119,5212,18933,5587,35130,19694,8663,0,2022-04-16 10:00:00+00:00,71.0,49.714285714285715,12.385931675014088,8.672644311679884,84.0,69.0,9.917355371900825,8.146399055489963,71.0,66.0,11.520513003576227,10.709209270930014,63.0,31.857142857142858,18.698745403225086,9.455374659680713,3.0,4.142857142857143,3.17104623385409,4.379063846750886,152.0,100.85714285714286,16.591314446887054,11.0088984957728,26.0,16.714285714285715,10.17847565582659,6.543305778745666,240.0,179.14285714285714,22.842175793384907,17.050052645776592
763,764,2022/04/17 10:00:00+00,17143,89955,132577,112667,11163,6070,21514,15536,28135,7740,45830,5723,38384,44144,3051,169749,171273,7125,5212,18934,5588,35137,19698,8671,0,2022-04-17 10:00:00+00:00,66.0,52.285714285714285,11.513682965506053,9.121229362284016,65.0,71.57142857142857,7.674144037780401,8.449991566874683,56.0,66.42857142857143,9.086601805637587,10.778749590871117,100.0,43.57142857142857,29.68054825908744,12.932238884316671,4.0,4.142857142857143,4.228061645138786,4.379063846750886,93.0,100.42857142857143,10.151264760266422,10.962118473836089,11.0,16.428571428571427,4.30627816208048,6.431454397912406,169.0,179.71428571428572,16.084698787841873,17.104438778617983
764,765,2022/04/18 10:00:00+00,17144,90007,132629,112723,11172,6071,21522,15541,28158,7740,45849,5723,38406,44163,3051,169916,171361,7128,5212,18938,5589,35139,19703,8673,0,2022-04-18 10:00:00+00:00,52.0,54.285714285714285,9.071386578883557,9.470128846087231,52.0,70.28571428571429,6.13931523022432,8.298195311182324,56.0,66.71428571428571,9.086601805637587,10.825109804165185,19.0,41.142857142857146,5.639304169226614,12.211425569453118,9.0,4.857142857142857,9.513138701562267,5.134074854811383,88.0,104.28571428571429,9.605497837671452,11.383138671266495,22.0,17.428571428571427,8.61255632416096,6.822934230828813,167.0,189.14285714285714,15.894347322896996,18.00180997050096
765,766,2022/04/19 10:00:00+00,17147,90062,132693,112768,11175,6072,21536,15550,28191,7742,45873,5724,38431,44203,3053,170119,171478,7129,5214,18940,5589,35147,19709,8680,0,2022-04-19 10:00:00+00:00,55.0,57.857142857142854,9.594735804588378,10.09316363859297,64.0,71.57142857142857,7.556080283353011,8.449991566874683,45.0,62.57142857142857,7.301733593815919,10.152886711401182,40.0,44.714285714285715,11.872219303634976,13.271445150134813,3.0,4.857142857142857,3.17104623385409,5.134074854811383,117.0,110.28571428571429,12.770945988722273,12.038058978380459,25.0,19.571428571428573,9.786995822910182,7.6618195870782575,203.0,195.42857142857142,19.32067369190473,18.60005743175628
766,767,2022/04/20 10:00:00+00,17150,90128,132744,112839,11182,6073,21544,15558,28204,7743,45903,5725,38452,44246,3054,170296,171583,7131,5212,18949,5593,35158,19712,8682,0,2022-04-20 10:00:00+00:00,66.0,61.857142857142854,11.513682965506053,10.790962606199397,51.0,72.28571428571429,6.02125147579693,8.534322820037106,71.0,65.71428571428571,11.520513003576227,10.662849057635944,43.0,46.285714285714285,12.7626357514076,13.737853765634757,7.0,5.428571428571429,7.399107878992876,5.738083661259781,105.0,113.14285714285714,11.461105374494347,12.349925791291867,21.0,21.428571428571427,8.221076491244553,8.388853562494443,177.0,201.71428571428572,16.846104647621367,19.1983048930116
767,768,2022/04/21 10:00:00+00,17159,90219,132857,112955,11191,6078,21562,15566,28230,7745,45929,5725,38488,44291,3056,170616,171763,7135,5212,18961,5593,35170,19716,8688,0,2022-04-21 10:00:00+00:00,91.0,65.57142857142857,15.874926513046223,11.438918790405364,113.0,75.85714285714286,13.341204250295158,8.955979085849217,116.0,70.28571428571429,18.822246597392148,11.404612470341053,45.0,48.285714285714285,13.35624671658935,14.331464730816506,9.0,6.285714285714286,9.513138701562267,6.644096870932378,180.0,123.71428571428571,19.64760921341888,13.503832999064088,36.0,23.714285714285715,14.093273984990663,9.283664609160516,320.0,214.14285714285714,30.456234391179876,20.38120328231189
768,769,2022/04/22 10:00:00+00,17174,90290,132967,113091,11196,6080,21595,15585,28246,7745,45955,5725,38521,44373,3058,170868,171933,7137,5212,18975,5595,35183,19720,8696,0,2022-04-22 10:00:00+00:00,71.0,67.42857142857143,12.385931675014088,11.762896882508349,110.0,77.0,12.987012987012987,9.09090909090909,136.0,78.71428571428571,22.067461527977,12.772238762516098,82.0,56.0,24.338049572451702,16.621107025088968,5.0,5.714285714285714,5.285077056423483,6.04008806448398,170.0,129.28571428571428,18.556075368228942,14.111973284241339,33.0,24.857142857142858,12.918834486241442,9.731070132493553,252.0,218.28571428571428,23.98428458305415,20.775502745411988
