,ObjectID,OldDate,Count,Date,DailyCases,7Day,Daily100k,100k7D,100k7D_Diff,TotalNewsCasesPast7Days,TotalCasesPast7Days100K
34,35,2020/04/07 14:00:00+00,4371,2020-04-07 14:00:00+00:00,326.0,387.2857142857143,5.392280107448625,6.405990960251192,0.18667402650676657,2711.0,44.841936721758344
35,36,2020/04/08 14:00:00+00,5529,2020-04-08 14:00:00+00:00,1158.0,506.2857142857143,19.154172897010756,8.374338606835199,1.9683476465840064,3544.0,58.620370247846395
36,37,2020/04/09 14:00:00+00,6185,2020-04-09 14:00:00+00:00,656.0,550.5714285714286,10.850723161000914,9.106856938697195,0.7325183318619963,3854.0,63.74799857088037
37,38,2020/04/10 14:00:00+00,6968,2020-04-10 14:00:00+00:00,783.0,601.4285714285714,12.951396699792248,9.948071539158068,0.8412146004608729,4210.0,69.63650077410648
38,39,2020/04/11 14:00:00+00,7694,2020-04-11 14:00:00+00:00,726.0,652.7142857142857,12.008574717815035,10.796375026701474,0.8483034875434061,4569.0,75.57462518691032
39,40,2020/04/12 14:00:00+00,8225,2020-04-12 14:00:00+00:00,531.0,659.4285714285714,8.78313109526141,10.907434257661196,0.11105923095972159,4616.0,76.35203980362837
40,41,2020/04/13 14:00:00+00,8936,2020-04-13 14:00:00+00:00,711.0,698.7142857142857,11.760463669926294,11.557248906893614,0.6498146492324182,4891.0,80.90074234825528
41,42,2020/04/14 14:00:00+00,9472,2020-04-14 14:00:00+00:00,536.0,728.7142857142857,8.86583477789099,12.053471002671092,0.4962220957774779,5101.0,84.37429701869765
42,43,2020/04/15 14:00:00+00,10032,2020-04-15 14:00:00+00:00,560.0,643.2857142857143,9.262812454512975,10.640419510885696,-1.4130514917853958,4503.0,74.48293657619986
43,44,2020/04/16 14:00:00+00,10784,2020-04-16 14:00:00+00:00,752.0,657.0,12.438633867488852,10.86726389752683,0.22684438664113316,4599.0,76.07084728268781
44,45,2020/04/17 14:00:00+00,11572,2020-04-17 14:00:00+00:00,788.0,657.7142857142857,13.034100382421828,10.879078709331054,0.011814811804224945,4604.0,76.1535509653174
45,46,2020/04/18 14:00:00+00,12308,2020-04-18 14:00:00+00:00,736.0,659.1428571428571,12.173982083074195,10.902708332939508,0.023629623608453443,4614.0,76.31895833057654
46,47,2020/04/19 14:00:00+00,12830,2020-04-19 14:00:00+00:00,522.0,657.8571428571429,8.634264466528165,10.8814416716919,-0.021266661247608454,4605.0,76.1700917018433
47,48,2020/04/20 14:00:00+00,13684,2020-04-20 14:00:00+00:00,854.0,678.2857142857143,14.125788993132286,11.219345289292756,0.3379036176008565,4748.0,78.53541702504928
48,49,2020/04/21 14:00:00+00,14193,2020-04-21 14:00:00+00:00,509.0,674.4285714285714,8.419234891691257,11.155545305549937,-0.06379998374281826,4721.0,78.08881713884956
49,50,2020/04/22 14:00:00+00,14775,2020-04-22 14:00:00+00:00,582.0,677.5714285714286,9.626708658083126,11.20753047748853,0.05198517193859331,4743.0,78.45271334241971
50,51,2020/04/23 14:00:00+00,15737,2020-04-23 14:00:00+00:00,962.0,707.5714285714286,15.912188537931218,11.703752573266012,0.49622209577748144,4953.0,81.92626801286208
51,52,2020/04/24 14:00:00+00,16616,2020-04-24 14:00:00+00:00,879.0,720.5714285714286,14.539307406280187,11.91878214810292,0.2150295748369082,5044.0,83.43147503672043
52,53,2020/04/25 14:00:00+00,17766,2020-04-25 14:00:00+00:00,1150.0,779.7142857142857,19.02184700480343,12.89704856549281,0.9782664173898894,5458.0,90.27933995844967
53,54,2020/04/26 14:00:00+00,18581,2020-04-26 14:00:00+00:00,815.0,821.5714285714286,13.480700268621561,13.589396537220438,0.692347971727628,5751.0,95.12577576054306
54,55,2020/04/27 14:00:00+00,19487,2020-04-27 14:00:00+00:00,906.0,829.0,14.985907292479919,13.712270579984386,0.12287404276394831,5803.0,95.9858940598907
55,56,2020/04/28 14:00:00+00,20113,2020-04-28 14:00:00+00:00,626.0,845.7142857142857,10.354501065223433,13.988737176203268,0.2764665962188815,5920.0,97.92116023342287
56,57,2020/04/29 14:00:00+00,20849,2020-04-29 14:00:00+00:00,736.0,867.7142857142857,12.173982083074195,14.35263337977342,0.3638962035701532,6074.0,100.46843365841396
57,58,2020/04/30 14:00:00+00,21742,2020-04-30 14:00:00+00:00,893.0,857.8571428571429,14.770877717643012,14.189588976875104,-0.16304440289831668,6005.0,99.32712283812573
58,59,2020/05/01 14:00:00+00,23472,2020-05-01 14:00:00+00:00,1730.0,979.4285714285714,28.61547418983472,16.200469945954325,2.0108809690792206,6856.0,113.40328962168027
59,60,2020/05/02 14:00:00+00,24473,2020-05-02 14:00:00+00:00,1001.0,958.1428571428571,16.557277262441943,15.8483885541884,-0.3520813917659247,6707.0,110.9387198793188
60,61,2020/05/03 14:00:00+00,25462,2020-05-03 14:00:00+00:00,989.0,983.0,16.35878842413095,16.259544004975453,0.41115545078705296,6881.0,113.81680803482818
61,62,2020/05/04 14:00:00+00,26408,2020-05-04 14:00:00+00:00,946.0,988.7142857142857,15.64753675351656,16.35406249940926,0.09451849443380667,6921.0,114.47843749586481
62,63,2020/05/05 14:00:00+00,27117,2020-05-05 14:00:00+00:00,709.0,1000.5714285714286,11.727382196874462,16.550188375359408,0.1961258759501483,7004.0,115.85131862751584
63,64,2020/05/06 14:00:00+00,28163,2020-05-06 14:00:00+00:00,1046.0,1044.857142857143,17.30161040610816,17.2827067072214,0.7325183318619928,7314.0,120.97894695054983
64,65,2020/05/07 14:00:00+00,29374,2020-05-07 14:00:00+00:00,1211.0,1090.2857142857142,20.030831932884308,18.034128737970157,0.7514220307487562,7632.0,126.2389011657911
65,66,2020/05/08 14:00:00+00,30485,2020-05-08 14:00:00+00:00,1111.0,1001.8571428571429,18.376758280292705,16.571455036607013,-1.4626737013631441,7013.0,116.0001852562491
66,67,2020/05/09 14:00:00+00,31534,2020-05-09 14:00:00+00:00,1049.0,1008.7142857142857,17.35123261568591,16.68487722992758,0.11342219332056658,7061.0,116.79414060949306
67,68,2020/05/10 14:00:00+00,32587,2020-05-10 14:00:00+00:00,1053.0,1017.8571428571429,17.417395561789576,16.836106821021666,0.1512295910940864,7125.0,117.8527477471517
68,69,2020/05/11 14:00:00+00,33373,2020-05-11 14:00:00+00:00,786.0,995.0,13.001018909369996,16.458032843286446,-0.37807397773521956,6965.0,115.20622990300512
69,70,2020/05/12 14:00:00+00,34061,2020-05-12 14:00:00+00:00,688.0,992.0,11.380026729830226,16.408410633708694,-0.049622209577751875,6944.0,114.85887443596087
70,71,2020/05/13 14:00:00+00,34812,2020-05-13 14:00:00+00:00,751.0,949.8571428571429,12.422093130962935,15.711336737259378,-0.6970738964493162,6649.0,109.97935716081565
71,72,2020/05/14 14:00:00+00,35903,2020-05-14 14:00:00+00:00,1091.0,932.7142857142857,18.045943549774385,15.42778125395796,-0.2835554833014182,6529.0,107.99446877770573
72,73,2020/05/15 14:00:00+00,36986,2020-05-15 14:00:00+00:00,1083.0,928.7142857142857,17.913617657567055,15.361618307854297,-0.06616294610366324,6501.0,107.53132815498009
73,74,2020/05/16 14:00:00+00,37968,2020-05-16 14:00:00+00:00,982.0,919.1428571428571,16.243003268449538,15.203299829677674,-0.15831847817662315,6434.0,106.42309880774371
74,75,2020/05/17 14:00:00+00,38804,2020-05-17 14:00:00+00:00,836.0,888.1428571428571,13.8280557356658,14.690536997374277,-0.5127628323033964,6217.0,102.83375898161994
75,76,2020/05/18 14:00:00+00,39762,2020-05-18 14:00:00+00:00,958.0,912.7142857142857,15.846025591827553,15.096966523439642,0.40642952606536475,6389.0,105.6787656640775
76,77,2020/05/19 14:00:00+00,41546,2020-05-19 14:00:00+00:00,1784.0,1069.2857142857142,29.50867396223419,17.686773270925922,2.5898067474862803,7485.0,123.80741289648145
77,78,2020/05/20 14:00:00+00,42323,2020-05-20 14:00:00+00:00,777.0,1073.0,12.852152280636751,17.748210292307895,0.06143702138197327,7511.0,124.23747204615528
78,79,2020/05/21 14:00:00+00,43531,2020-05-21 14:00:00+00:00,1208.0,1089.7142857142858,19.98120972330656,18.02467688852678,0.27646659621888503,7628.0,126.17273821968745
79,80,2020/05/22 14:00:00+00,44424,2020-05-22 14:00:00+00:00,893.0,1062.5714285714287,14.770877717643012,17.5757140399662,-0.4489628485605799,7438.0,123.0299982797634
80,81,2020/05/23 14:00:00+00,45495,2020-05-23 14:00:00+00:00,1071.0,1075.2857142857142,17.715128819256066,17.78601769008142,0.21030365011521823,7527.0,124.50212383056991
81,82,2020/05/24 14:00:00+00,46313,2020-05-24 14:00:00+00:00,818.0,1072.7142857142858,13.53032247819931,17.743484367586206,-0.042533322495213355,7509.0,124.20439057310344
82,83,2020/05/25 14:00:00+00,47152,2020-05-25 14:00:00+00:00,839.0,1055.7142857142858,13.877677945243548,17.462291846645634,-0.28119252094057146,7390.0,122.23604292651943
83,84,2020/05/26 14:00:00+00,47687,2020-05-26 14:00:00+00:00,535.0,877.2857142857143,8.849294041365074,14.510951857950047,-2.9513399886955867,6141.0,101.57666300565033
84,85,2020/05/27 14:00:00+00,48423,2020-05-27 14:00:00+00:00,736.0,871.4285714285714,12.173982083074195,14.414070401155396,-0.09688145679465165,6100.0,100.89849280808777
85,86,2020/05/28 14:00:00+00,49709,2020-05-28 14:00:00+00:00,1286.0,882.5714285714286,21.27138717232801,14.598381465301316,0.1843110641459198,6178.0,102.18867025710921
86,87,2020/05/29 14:00:00+00,50988,2020-05-29 14:00:00+00:00,1279.0,937.7142857142857,21.155602016646597,15.510484936587543,0.9121034712862279,6564.0,108.57339455611279
87,88,2020/05/30 14:00:00+00,52015,2020-05-30 14:00:00+00:00,1027.0,931.4285714285714,16.98733641211576,15.406514592710355,-0.1039703438771884,6520.0,107.84560214897249
