epoch,1st Dose,Second/Single Dose,Total Daily Doses
1630904400000,122,101,
1630990800000,512,698,
1631077200000,559,479,
1631163600000,728,486,
1631250000000,644,574,
1631336400000,398,323,
1631422800000,292,240,
1631509200000,515,442,
1631595600000,475,448,
1631682000000,468,467,
1631768400000,494,472,
1631854800000,498,492,
1631941200000,273,312,
1632027600000,528,750,
1632114000000,458,413,
1632200400000,486,465,
1632286800000,444,389,
1632373200000,472,442,
1632459600000,862,524,
1632546000000,724,300,
1632632400000,429,179,
1632718800000,1251,215,
1632805200000,567,175,
1632891600000,324,106,
1632978000000,388,1205,
1633064400000,500,1537,
1633150800000,235,592,
1633237200000,127,366,
1633323600000,125,388,
