,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,AACountyPop,ndate,AADailyCases,AA7Day,AADaily100K,AA100k7D,BaltCountyDailyCases,BaltimoreCounty7Day,BaltimoreCountyDaily100K,BaltimoreCounty100k7D,BaltimoreCityDC,BaltCity7Day,BaltCityDaily100k,BaltimoreCity100k7D,HowardDC,Howard7Day,HowardCountyDaily100K,HowardCounty100k7D,CalvertDC,Calvert7Day,CalvertDaily100k,Calvert100k7D,PGDC,PG7Day,PGDaily100k,PG100k7D,HarfordDC,Hardford7Day,Harford100kDaily,Hardford100k7D,MontgomeryDC,Montgomery7Day,Montgomery100kDaily,Montgomery100k7D
89,90,2020/06/12 14:00:00+00,187.0,4453,7051,6559,370.0,279.0,977,435.0,1248,160.0,2225.0,10.0,991,2332.0,189.0,13348,17042,179.0,78.0,575.0,107.0,568.0,1004.0,246.0,0.0,,2020-06-12 14:00:00+00:00,32.0,43.285714285714285,5.582391740851419,7.551181685169554,66.0,65.85714285714286,7.792207792207792,7.775341541575308,50.0,74.42857142857143,8.11303732646213,12.07683556310506,21.0,36.857142857142854,6.232915134408364,10.939402072635087,4.0,2.4285714285714284,4.228061645138786,2.5670374274056917,102.0,124.71428571428571,11.133645220937366,13.612986383583081,1.0,7.428571428571429,0.3914798329164073,2.90813590166474,72.0,130.57142857142858,6.852652738015471,12.427231354258216
90,91,2020/06/13 14:00:00+00,187.0,4522,7107,6633,373.0,282.0,983,439.0,1264,161.0,2251.0,10.0,1004,2371.0,192.0,13534,17216,179.0,79.0,578.0,107.0,570.0,1010.0,253.0,0.0,,2020-06-13 14:00:00+00:00,69.0,44.57142857142857,12.037032191210873,7.775474210471621,56.0,58.714285714285715,6.6115702479338845,6.932029009951088,74.0,70.28571428571429,12.007295243163956,11.404612470341053,39.0,39.57142857142857,11.575413821044101,11.745016953953174,3.0,2.7142857142857144,3.17104623385409,2.8690418306298904,174.0,128.57142857142858,18.992688906304917,14.034006581013488,13.0,8.142857142857142,5.089237827913295,3.1877643537478884,186.0,130.0,17.7026862398733,12.372845221416824
91,92,2020/06/14 14:00:00+00,187.0,4607,7151,6689,375.0,283.0,989,443.0,1269,162.0,2273.0,10.0,1009,2335.0,193.0,13607,17326,180.0,79.0,580.0,107.0,571.0,1020.0,256.0,0.0,,2020-06-14 14:00:00+00:00,85.0,53.0,14.828228061636583,9.245836320785163,44.0,56.857142857142854,5.194805194805195,6.712767751728791,56.0,65.71428571428571,9.086601805637587,10.662849057635944,-36.0,30.0,-10.684997373271479,8.904164477726233,2.0,2.4285714285714284,2.114030822569393,2.5670374274056917,110.0,127.42857142857143,12.006872297089316,13.909259855848925,5.0,7.428571428571429,1.9573991645820368,2.90813590166474,73.0,124.71428571428571,6.9478284704879085,11.869773492633941
92,93,2020/06/15 14:00:00+00,187.0,4623,7199,6747,376.0,283.0,992,445.0,1272,165.0,2298.0,10.0,1019,2350.0,193.0,13657,17400,183.0,80.0,582.0,107.0,579.0,1027.0,258.0,0.0,,2020-06-15 14:00:00+00:00,16.0,50.857142857142854,2.7911958704257094,8.87201544528172,48.0,55.0,5.667060212514758,6.493506493506494,58.0,64.42857142857143,9.411123298696074,10.454228097812631,15.0,27.714285714285715,4.452082238863116,8.225751946089948,1.0,2.0,1.0570154112846966,2.114030822569393,74.0,125.28571428571429,8.07735045440554,13.675359746165364,10.0,8.285714285714286,3.9147983291640736,3.243690044164518,50.0,119.85714285714286,4.758786623621855,11.407491363482105
93,94,2020/06/16 14:00:00+00,188.0,4751,7248,6782,380.0,284.0,987,450.0,1277,166.0,2308.0,10.0,1023,2327.0,193.0,13709,17499,183.0,82.0,585.0,109.0,579.0,1031.0,258.0,0.0,,2020-06-16 14:00:00+00:00,128.0,63.142857142857146,22.329566963405675,11.01525513150146,49.0,56.57142857142857,5.785123966942149,6.679035250463821,35.0,61.0,5.679126128523492,9.897905538283803,-23.0,19.428571428571427,-6.826526099590112,5.766506518908417,4.0,2.4285714285714284,4.228061645138786,2.5670374274056917,99.0,123.28571428571429,10.806185067380383,13.457052977127375,4.0,7.714285714285714,1.5659193316656292,3.0199872824979996,52.0,105.85714285714286,4.9491380885667295,10.075031108867986
94,95,2020/06/17 14:00:00+00,188.0,4796,7329,6866,382.0,284.0,1006,455.0,1291,170.0,2336.0,10.0,1032,2343.0,192.0,13819,17611,187.0,82.0,587.0,110.0,593.0,1035.0,265.0,0.0,,2020-06-17 14:00:00+00:00,45.0,64.0,7.850238385572308,11.164783481702838,81.0,59.0,9.563164108618654,6.965761511216058,84.0,62.57142857142857,13.629902708456381,10.152886711401182,16.0,17.571428571428573,4.748887721453991,5.215296336953936,2.0,2.7142857142857144,2.114030822569393,2.869041830629891,112.0,122.57142857142857,12.225179066127303,13.379086273899523,9.0,7.142857142857143,3.523318496247666,2.796284520831481,110.0,99.28571428571429,10.469330571968083,9.44959058119197
95,96,2020/06/18 14:00:00+00,187.0,4835,7371,6906,385.0,285.0,1010,456.0,1294,170.0,2342.0,10.0,1036,2348.0,193.0,13862,17666,187.0,83.0,595.0,110.0,595.0,1036.0,267.0,0.0,,2020-06-18 14:00:00+00:00,39.0,59.142857142857146,6.803539934162667,10.317456163895033,42.0,55.142857142857146,4.958677685950413,6.510372744138977,40.0,56.714285714285715,6.490429861169706,9.202502338872762,5.0,5.285714285714286,1.484027412954372,1.5688289794089076,3.0,2.7142857142857144,3.17104623385409,2.869041830629891,55.0,103.71428571428571,6.003436148544658,11.320765308684212,4.0,6.571428571428571,1.5659193316656292,2.572581759164962,43.0,83.71428571428571,4.092556496314796,7.967568461264021
96,97,2020/06/19 14:00:00+00,187.0,4862,7403,6938,389.0,288.0,1028,459.0,1294,174.0,2361.0,10.0,1041,2382.0,193.0,13928,17709,203.0,83.0,599.0,113.0,601.0,1036.0,267.0,0.0,,2020-06-19 14:00:00+00:00,27.0,58.42857142857143,4.710143031343385,10.192849205393884,32.0,50.285714285714285,3.7780401416765055,5.936920222634508,32.0,54.142857142857146,5.192343888935764,8.785260419226137,34.0,7.142857142857143,10.09138640808973,2.1200391613633887,4.0,2.7142857142857144,4.228061645138786,2.869041830629891,43.0,95.28571428571429,4.693595534316732,10.40075821059555,5.0,7.142857142857143,1.9573991645820368,2.796284520831481,66.0,82.85714285714286,6.28159834318085,7.8859892620019325
97,98,2020/06/20 14:00:00+00,188.0,4880,7480,6993,393.0,290.0,1028,460.0,1304,180.0,2380.0,10.0,1052,2409.0,193.0,14004,17804,204.0,83.0,597.0,113.0,602.0,1039.0,270.0,0.0,,2020-06-20 14:00:00+00:00,18.0,51.142857142857146,3.140095354228923,8.92185822868218,77.0,53.285714285714285,9.09090909090909,6.291111485916681,55.0,51.42857142857143,8.924341059108345,8.344838392932479,27.0,5.428571428571429,8.013748029953609,1.6112297626361756,4.0,2.857142857142857,4.228061645138786,3.02004403224199,95.0,84.0,10.369571529304409,9.168884299595478,11.0,6.857142857142857,4.30627816208048,2.6844331399982218,76.0,67.14285714285714,7.23335566790522,6.390370608863635
98,99,2020/06/21 14:00:00+00,188.0,4904,7537,7053,394.0,294.0,1030,460.0,1313,183.0,2393.0,10.0,1056,2423.0,193.0,14079,17874,205.0,83.0,602.0,115.0,603.0,1043.0,271.0,0.0,,2020-06-21 14:00:00+00:00,24.0,42.42857142857143,4.1867938056385645,7.4016533349681755,57.0,55.142857142857146,6.7296340023612755,6.510372744138978,60.0,52.0,9.735644791754558,8.437558819520618,14.0,12.571428571428571,4.155276756272242,3.731268923999564,1.0,2.7142857142857144,1.0570154112846966,2.869041830629891,70.0,78.28571428571429,7.6407369163295655,8.545150673772655,4.0,6.714285714285714,1.5659193316656292,2.628507449581592,75.0,67.42857142857143,7.138179935432784,6.41756367528433
99,100,2020/06/22 14:00:00+00,189.0,4916,7585,7095,397.0,294.0,1031,461.0,1328,183.0,2407.0,10.0,1060,2436.0,194.0,14141,17935,211.0,83.0,599.0,117.0,611.0,1046.0,274.0,0.0,,2020-06-22 14:00:00+00:00,12.0,41.857142857142854,2.0933969028192823,7.301967768167258,48.0,55.142857142857146,5.667060212514758,6.510372744138977,42.0,49.714285714285715,6.8149513542281905,8.066677113168064,13.0,12.285714285714286,3.8584712736813676,3.6464673575450286,3.0,3.0,3.17104623385409,3.1710462338540895,61.0,76.42857142857143,6.6583564556586206,8.34243724538024,4.0,5.857142857142857,1.5659193316656292,2.292953307081814,62.0,69.14285714285714,5.900895413291101,6.580722073808509
100,101,2020/06/23 14:00:00+00,192.0,4946,7635,7148,398.0,296.0,1061,461.0,1333,183.0,2419.0,10.0,1064,2423.0,194.0,14204,18080,211.0,84.0,605.0,116.0,616.0,1051.0,277.0,0.0,,2020-06-23 14:00:00+00:00,30.0,27.857142857142858,5.233492257048206,4.8596713815447625,50.0,55.285714285714285,5.90318772136954,6.527238994771463,53.0,52.285714285714285,8.59981956604986,8.483919032814686,-13.0,13.714285714285714,-3.8584712736813676,4.0704751898177065,1.0,2.5714285714285716,1.0570154112846966,2.7180396290177913,145.0,83.0,15.827240755254097,9.059730915076484,4.0,5.857142857142857,1.5659193316656292,2.292953307081814,63.0,70.71428571428571,5.996071145763538,6.730283939122338
101,102,2020/06/24 14:00:00+00,194.0,4956,7652,7210,402.0,297.0,1082,464.0,1341,183.0,2425.0,10.0,1072,2436.0,195.0,14283,18151,213.0,84.0,606.0,116.0,634.0,1053.0,278.0,0.0,,2020-06-24 14:00:00+00:00,10.0,22.857142857142858,1.7444974190160685,3.987422672036728,17.0,46.142857142857146,2.0070838252656436,5.447798954292461,62.0,49.142857142857146,10.060166284813043,7.973956686579923,13.0,13.285714285714286,3.8584712736813676,3.9432728401359034,4.0,2.857142857142857,4.228061645138786,3.02004403224199,71.0,77.14285714285714,7.749890300848558,8.420403948608092,8.0,5.714285714285714,3.1318386633312585,2.2370276166651846,79.0,66.28571428571429,7.5188828653225315,6.308791409601546
102,103,2020/06/25 14:00:00+00,203.0,4985,7710,7258,403.0,302.0,1101,460.0,1350,184.0,2441.0,10.0,1078,2453.0,194.0,14381,18249,215.0,85.0,610.0,119.0,653.0,1055.0,278.0,0.0,,2020-06-25 14:00:00+00:00,29.0,21.428571428571427,5.059042515146599,3.7382087550344325,58.0,48.42857142857143,6.8476977567886665,5.717658964412211,48.0,50.285714285714285,7.788515833403647,8.1593975397562,17.0,15.0,5.045693204044865,4.452082238863116,1.0,2.5714285714285716,1.0570154112846966,2.7180396290177913,98.0,83.28571428571429,10.697031682861391,9.090917596367625,6.0,6.0,2.348878997498444,2.3488789974984443,98.0,74.14285714285714,9.327221782298837,7.056600736170694
103,104,2020/06/26 14:00:00+00,204.0,5005,7768,7299,404.0,309.0,1104,462.0,1357,182.0,2448.0,10.0,1078,2470.0,195.0,14471,18307,220.0,86.0,611.0,121.0,663.0,1059.0,282.0,0.0,,2020-06-26 14:00:00+00:00,20.0,20.428571428571427,3.488994838032137,3.563759013132826,58.0,52.142857142857146,6.8476977567886665,6.156181480856806,41.0,51.57142857142857,6.652690607698949,8.368018499579513,17.0,12.571428571428571,5.045693204044865,3.731268923999564,1.0,2.142857142857143,1.0570154112846966,2.2650330241814927,58.0,85.42857142857143,6.330896302101639,9.324817706051181,0.0,5.285714285714286,0.0,2.069250545415296,90.0,77.57142857142857,8.56581592251934,7.38291753321905
104,105,2020/06/27 14:00:00+00,204.0,5042,7800,7363,408.0,315.0,1104,473.0,1362,183.0,2465.0,10.0,1090,2490.0,196.0,14520,18342,224.0,86.0,619.0,130.0,684.0,1058.0,282.0,0.0,,2020-06-27 14:00:00+00:00,37.0,23.142857142857142,6.454640450359453,4.037265455437187,32.0,45.714285714285715,3.7780401416765055,5.397200202395007,64.0,52.857142857142854,10.384687777871529,8.576639459402825,20.0,11.571428571428571,5.936109651817488,3.4344634414086896,4.0,2.142857142857143,4.228061645138786,2.2650330241814927,35.0,76.85714285714286,3.8203684581647828,8.38921726731695,12.0,5.428571428571429,4.697757994996888,2.1251762358319253,49.0,73.71428571428571,4.6636108911494185,7.015811136539649
105,106,2020/06/28 14:00:00+00,204.0,5055,7847,7416,410.0,315.0,1105,473.0,1371,185.0,2471.0,11.0,1096,2501.0,198.0,14607,18414,226.0,86.0,620.0,130.0,694.0,1060.0,282.0,0.0,,2020-06-28 14:00:00+00:00,13.0,21.571428571428573,2.267846644720889,3.7631301467346625,47.0,44.285714285714285,5.548996458087368,5.2285376960701635,53.0,51.857142857142854,8.59981956604986,8.414378712873582,11.0,11.142857142857142,3.2648603084996184,3.3072610917268865,2.0,2.2857142857142856,2.114030822569393,2.416035225793592,72.0,77.14285714285714,7.859043685367553,8.420403948608092,6.0,5.714285714285714,2.348878997498444,2.2370276166651846,87.0,75.42857142857143,8.280288725102027,7.178969535063828
106,107,2020/06/29 14:00:00+00,204.0,5092,7929,7498,413.0,318.0,1114,478.0,1383,188.0,2486.0,11.0,1108,2527.0,199.0,14675,18505,227.0,87.0,633.0,136.0,695.0,1062.0,286.0,0.0,,2020-06-29 14:00:00+00:00,37.0,25.142857142857142,6.454640450359453,4.386164939240401,82.0,49.142857142857146,9.681227863046045,5.801990217574634,82.0,57.57142857142857,13.305381215397897,9.34158297875497,26.0,13.0,7.716942547362735,3.858471273681367,3.0,2.2857142857142856,3.17104623385409,2.416035225793592,91.0,81.42857142857143,9.932957991228434,8.888204167975207,12.0,6.857142857142857,4.697757994996888,2.6844331399982218,68.0,76.28571428571429,6.471949808125723,7.2605487343259165
107,108,2020/06/30 14:00:00+00,205.0,5109,7985,7546,414.0,319.0,1117,479.0,1393,188.0,2490.0,11.0,1116,2538.0,198.0,14737,18572,230.0,87.0,637.0,137.0,698.0,1067.0,286.0,0.0,,2020-06-30 14:00:00+00:00,17.0,23.285714285714285,2.9656456123273167,4.062186847137417,56.0,50.0,6.6115702479338845,5.90318772136954,48.0,56.857142857142854,7.788515833403647,9.225682445519794,11.0,16.428571428571427,3.2648603084996184,4.876090071135794,1.0,2.2857142857142856,1.0570154112846966,2.416035225793592,67.0,70.28571428571429,7.313276762772583,7.671923597620705,8.0,7.428571428571429,3.1318386633312585,2.90813590166474,62.0,76.14285714285714,5.900895413291101,7.246952201115568
108,109,2020/07/01 14:00:00+00,205.0,5134,8040,7605,415.0,320.0,1136,480.0,1399,188.0,2493.0,11.0,1127,2568.0,200.0,14803,18645,230.0,87.0,639.0,137.0,697.0,1070.0,289.0,0.0,,2020-07-01 14:00:00+00:00,25.0,25.428571428571427,4.361243547540171,4.43600772264086,55.0,55.42857142857143,6.4935064935064934,6.544105245403947,59.0,56.42857142857143,9.573384045225314,9.156142125578693,30.0,18.857142857142858,8.904164477726232,5.5969033859993464,1.0,1.8571428571428572,1.0570154112846966,1.9630286209572936,73.0,70.57142857142857,7.968197069886545,7.703110278911848,11.0,7.857142857142857,4.30627816208048,3.0759129729146286,66.0,74.28571428571429,6.28159834318085,7.070197269381042
109,110,2020/07/02 14:00:00+00,205.0,5179,8105,7701,418.0,321.0,1149,486.0,1416,189.0,2501.0,11.0,1153,2602.0,201.0,14899,18731,232.0,87.0,646.0,141.0,687.0,1074.0,289.0,0.0,,2020-07-02 14:00:00+00:00,45.0,27.714285714285715,7.850238385572308,4.834749989844533,65.0,56.42857142857143,7.674144037780401,6.662168999831338,96.0,63.285714285714285,15.577031666807294,10.268787244636355,34.0,21.285714285714285,10.09138640808973,6.317716700862897,3.0,2.142857142857143,3.17104623385409,2.2650330241814927,86.0,68.85714285714286,9.387191068633465,7.515990191165001,26.0,10.714285714285714,10.17847565582659,4.194426781247222,96.0,74.0,9.136870317353964,7.043004202960347
110,111,2020/07/03 14:00:00+00,206.0,5200,8183,7789,419.0,321.0,1155,487.0,1426,188.0,2520.0,11.0,1173,2618.0,200.0,15021,18861,234.0,87.0,651.0,144.0,691.0,1085.0,291.0,0.0,,2020-07-03 14:00:00+00:00,21.0,27.857142857142858,3.6634445799337443,4.8596713815447625,78.0,59.285714285714285,9.208972845336481,6.999494012481025,88.0,70.0,14.278945694573352,11.358252257046985,16.0,21.142857142857142,4.748887721453991,6.27531591763563,1.0,2.142857142857143,1.0570154112846966,2.2650330241814927,130.0,79.14285714285714,14.189939987469192,8.63871071764608,20.0,13.571428571428571,7.829596658328147,5.3129405895798145,122.0,78.57142857142857,11.611439361637327,7.478093265691487
111,112,2020/07/04 14:00:00+00,208.0,5239,8234,7857,419.0,322.0,1156,490.0,1430,192.0,2546.0,13.0,1176,2637.0,200.0,15082,18940,240.0,87.0,652.0,147.0,695.0,1087.0,292.0,0.0,,2020-07-04 14:00:00+00:00,39.0,28.142857142857142,6.803539934162667,4.909514164945222,51.0,62.0,6.02125147579693,7.319952774498229,68.0,70.57142857142857,11.0337307639885,11.450972683635124,19.0,21.0,5.639304169226614,6.232915134408363,0.0,1.5714285714285714,0.0,1.6610242177330947,79.0,85.42857142857143,8.623117377000508,9.324817706051183,3.0,12.285714285714286,1.174439498749222,4.8096093758301475,61.0,80.28571428571429,5.8057196808186635,7.641251664215665
112,113,2020/07/05 14:00:00+00,210.0,5261,8285,7897,421.0,322.0,1158,494.0,1437,201.0,2552.0,14.0,1180,2651.0,203.0,15129,18998,247.0,88.0,654.0,150.0,696.0,1088.0,296.0,0.0,,2020-07-05 14:00:00+00:00,22.0,29.428571428571427,3.837894321835351,5.133806690247288,51.0,62.57142857142857,6.02125147579693,7.387417777028167,40.0,68.71428571428571,6.490429861169706,11.149631297223673,14.0,21.428571428571427,4.155276756272242,6.360117484090166,2.0,1.5714285714285714,2.114030822569393,1.6610242177330947,58.0,83.42857142857143,6.330896302101639,9.106510937013196,4.0,12.0,1.5659193316656292,4.697757994996887,47.0,74.57142857142857,4.473259426204544,7.09739033580174
113,114,2020/07/06 14:00:00+00,210.0,5290,8335,7960,422.0,322.0,1164,498.0,1441,201.0,2554.0,15.0,1189,2666.0,203.0,15163,19040,248.0,88.0,659.0,152.0,696.0,1091.0,297.0,0.0,,2020-07-06 14:00:00+00:00,29.0,28.285714285714285,5.059042515146599,4.934435556645451,50.0,58.0,5.90318772136954,6.8476977567886665,63.0,66.0,10.222427031342285,10.709209270930014,15.0,19.857142857142858,4.452082238863116,5.893708868590221,1.0,1.2857142857142858,1.0570154112846966,1.3590198145088956,42.0,76.42857142857143,4.584442149797739,8.34243724538024,9.0,11.571428571428571,3.523318496247666,4.529980923746999,34.0,69.71428571428571,3.2359749040628616,6.635108206649901
114,115,2020/07/07 14:00:00+00,210.0,5305,8381,8000,422.0,323.0,1182,505.0,1451,199.0,2551.0,15.0,1198,2685.0,204.0,15332,19182,256.0,91.0,662.0,155.0,691.0,1095.0,301.0,0.0,,2020-07-07 14:00:00+00:00,15.0,28.0,2.616746128524103,4.884592773244991,46.0,56.57142857142857,5.430932703659977,6.679035250463822,40.0,64.85714285714286,6.490429861169706,10.523768417753738,19.0,21.0,5.639304169226614,6.232915134408363,0.0,1.1428571428571428,0.0,1.208017612896796,142.0,87.14285714285714,15.499780601697116,9.51193779379803,9.0,11.714285714285714,3.523318496247666,4.585906614163628,169.0,85.0,16.084698787841873,8.089937260157155
115,116,2020/07/08 14:00:00+00,212.0,5341,8443,8071,425.0,325.0,1188,512.0,1473,199.0,2553.0,16.0,1209,2723.0,204.0,15400,19285,260.0,93.0,666.0,161.0,694.0,1102.0,306.0,0.0,,2020-07-08 14:00:00+00:00,36.0,29.571428571428573,6.280190708457846,5.158728081947517,62.0,57.57142857142857,7.319952774498229,6.797099004891213,71.0,66.57142857142857,11.520513003576227,10.801929697518151,38.0,22.142857142857142,11.278608338453228,6.572121400226505,3.0,1.4285714285714286,3.17104623385409,1.5100220161209952,103.0,91.42857142857143,11.24279860545636,9.979738013165145,11.0,11.714285714285714,4.30627816208048,4.585906614163628,68.0,85.28571428571429,6.471949808125723,8.11713032657785
116,117,2020/07/09 14:00:00+00,212.0,5391,8497,8155,435.0,329.0,1190,514.0,1483,199.0,2567.0,17.0,1225,2751.0,203.0,15503,19456,268.0,94.0,673.0,165.0,702.0,1109.0,309.0,0.0,,2020-07-09 14:00:00+00:00,50.0,30.285714285714285,8.722487095080343,5.283335040448664,54.0,56.0,6.375442739079102,6.6115702479338845,84.0,64.85714285714286,13.629902708456381,10.523768417753738,28.0,21.285714285714285,8.310553512544484,6.317716700862898,10.0,2.4285714285714284,10.570154112846966,2.5670374274056917,171.0,103.57142857142857,18.665228752747936,11.30517196803864,16.0,10.285714285714286,6.263677326662517,4.026649709997332,103.0,86.28571428571429,9.803100444661021,8.212306059050288
117,118,2020/07/10 14:00:00+00,213.0,5423,8581,8249,438.0,332.0,1200,518.0,1496,203.0,2577.0,19.0,1246,2770.0,204.0,15568,19510,273.0,98.0,679.0,170.0,710.0,1119.0,314.0,0.0,,2020-07-10 14:00:00+00:00,32.0,31.857142857142858,5.582391740851419,5.557470349151189,84.0,56.857142857142854,9.917355371900825,6.712767751728791,94.0,65.71428571428571,15.252510173748806,10.662849057635944,19.0,21.714285714285715,5.639304169226614,6.444919050544702,3.0,2.7142857142857144,3.17104623385409,2.869041830629891,54.0,92.71428571428571,5.8942827640256645,10.120078078975281,21.0,10.428571428571429,8.221076491244553,4.082575400413962,65.0,78.14285714285714,6.186422610708412,7.437303666060442
118,119,2020/07/11 14:00:00+00,216.0,5471,8675,8367,445.0,334.0,1210,526.0,1502,209.0,2586.0,22.0,1262,2793.0,204.0,15623,19598,287.0,98.0,689.0,184.0,720.0,1130.0,316.0,0.0,,2020-07-11 14:00:00+00:00,48.0,33.142857142857146,8.373587611277129,5.781762874453256,94.0,63.0,11.097992916174736,7.43801652892562,118.0,72.85714285714286,19.146768090450628,11.821854389987678,23.0,22.285714285714285,6.826526099590112,6.614522183453772,7.0,3.7142857142857144,7.399107878992876,3.9260572419145876,88.0,94.0,9.605497837671452,10.260418144785415,16.0,12.285714285714286,6.263677326662517,4.8096093758301475,55.0,77.28571428571429,5.2346652859840415,7.355724466798354
119,120,2020/07/12 14:00:00+00,216.0,5514,8797,8489,449.0,336.0,1217,527.0,1517,217.0,2598.0,26.0,1279,2825.0,204.0,15727,19713,290.0,99.0,700.0,185.0,727.0,1136.0,321.0,0.0,,2020-07-12 14:00:00+00:00,43.0,36.142857142857146,7.5013389017690955,6.305112100158077,122.0,73.14285714285714,14.403778040141676,8.635520323832012,122.0,84.57142857142857,19.795811076567603,13.72262313504452,32.0,24.857142857142858,9.497775442907981,7.3777362815445935,4.0,4.0,4.228061645138786,4.228061645138786,115.0,102.14285714285714,12.552639219684284,11.149238561582937,17.0,14.142857142857142,6.655157159578925,5.536643351246332,104.0,85.42857142857143,9.898276177133459,8.130726859788199
120,121,2020/07/13 14:00:00+00,218.0,5562,8892,8566,453.0,336.0,1221,529.0,1528,217.0,2605.0,27.0,1288,2850.0,205.0,15780,19773,290.0,101.0,708.0,189.0,728.0,1139.0,322.0,0.0,,2020-07-13 14:00:00+00:00,48.0,38.857142857142854,8.373587611277129,6.778618542462438,95.0,79.57142857142857,11.216056670602125,9.39450160229381,77.0,86.57142857142857,12.494077482751683,14.047144628103004,25.0,26.285714285714285,7.42013706477186,7.8017441138172705,4.0,4.428571428571429,4.228061645138786,4.681068249975085,60.0,104.71428571428571,6.549203071139626,11.429918693203206,9.0,14.142857142857142,3.523318496247666,5.536643351246332,53.0,88.14285714285714,5.044313821039167,8.389060990784815
121,122,2020/07/14 14:00:00+00,220.0,5619,8990,8689,458.0,345.0,1224,531.0,1534,217.0,2619.0,27.0,1311,2891.0,205.0,15883,19956,296.0,103.0,721.0,197.0,737.0,1156.0,331.0,0.0,,2020-07-14 14:00:00+00:00,57.0,44.857142857142854,9.94363528839159,7.825316993872079,98.0,87.0,11.570247933884298,10.271546635182998,123.0,98.42857142857143,19.958071823096844,15.971093479806882,41.0,29.428571428571427,12.169024786225851,8.734561344817163,5.0,5.142857142857143,5.285077056423483,5.436079258035583,183.0,110.57142857142857,19.975069366975863,12.069245659671598,23.0,16.142857142857142,9.004036157077369,6.319603017079146,103.0,78.71428571428571,9.803100444661021,7.491689798901835
122,123,2020/07/15 14:00:00+00,222.0,5683,9153,8835,459.0,347.0,1228,536.0,1552,219.0,2635.0,28.0,1325,2922.0,208.0,15986,20099,299.0,105.0,730.0,207.0,739.0,1160.0,339.0,0.0,,2020-07-15 14:00:00+00:00,64.0,48.857142857142854,11.164783481702838,8.523115961478506,163.0,101.42857142857143,19.244391971664697,11.975037949063923,146.0,109.14285714285714,23.690068993269424,17.70960147833448,31.0,28.428571428571427,9.200969960317106,8.437755862226288,1.0,4.857142857142857,1.0570154112846966,5.1340748548113835,143.0,116.28571428571429,15.60893398621611,12.692979285494419,14.0,16.571428571428573,5.480717660829702,6.487380088329035,103.0,83.71428571428571,9.803100444661021,7.967568461264021
123,124,2020/07/16 14:00:00+00,224.0,5735,9261,8998,467.0,350.0,1235,538.0,1567,231.0,2655.0,29.0,1336,2957.0,211.0,16056,20191,301.0,105.0,739.0,216.0,743.0,1164.0,355.0,0.0,,2020-07-16 14:00:00+00:00,52.0,49.142857142857146,9.071386578883557,8.572958744878965,108.0,109.14285714285714,12.750885478158205,12.885815483218082,163.0,120.42857142857143,26.448501684266553,19.54082990345022,35.0,29.428571428571427,10.388191890680606,8.734561344817163,8.0,4.571428571428571,8.456123290277572,4.832070451587184,92.0,105.0,10.042111375747428,11.461105374494347,11.0,15.857142857142858,4.30627816208048,6.207751636245887,70.0,79.0,6.6623012730705975,7.518882865322531
124,125,2020/07/17 14:00:00+00,227.0,5813,9376,9141,479.0,351.0,1248,542.0,1583,232.0,2661.0,30.0,1351,2983.0,215.0,16153,20302,305.0,106.0,753.0,230.0,751.0,1173.0,366.0,0.0,,2020-07-17 14:00:00+00:00,78.0,55.714285714285715,13.607079868325334,9.719342763089525,115.0,113.57142857142857,13.57733175914994,13.408669252825096,143.0,127.42857142857143,23.203286753681695,20.676655129154916,26.0,30.428571428571427,7.716942547362735,9.031366827408037,12.0,5.857142857142857,12.68418493541636,6.19109026609608,111.0,113.14285714285714,12.11602568160831,12.349925791291868,15.0,15.0,5.87219749374611,5.87219749374611,97.0,83.57142857142857,9.2320460498264,7.953971928053673
125,126,2020/07/18 14:00:00+00,232.0,5902,9517,9284,483.0,352.0,1256,550.0,1593,238.0,2701.0,33.0,1380,3040.0,218.0,16251,20425,310.0,107.0,764.0,238.0,773.0,1176.0,383.0,0.0,,2020-07-18 14:00:00+00:00,89.0,61.57142857142857,15.526027029243009,10.741119822798936,141.0,120.28571428571429,16.646989374262102,14.201383032551862,143.0,131.0,23.203286753681695,21.256157795330783,57.0,35.285714285714285,16.91791250767984,10.472993457135141,4.0,5.428571428571429,4.228061645138786,5.738083661259782,123.0,118.14285714285714,13.425866295836236,12.895692713886836,29.0,16.857142857142858,11.352915154575813,6.599231469162295,98.0,89.71428571428571,9.327221782298837,8.538622856098643
126,127,2020/07/19 14:00:00+00,237.0,5955,9723,9428,490.0,360.0,1269,553.0,1609,245.0,2722.0,34.0,1412,3097.0,221.0,16372,20589,318.0,108.0,773.0,243.0,784.0,1181.0,408.0,0.0,,2020-07-19 14:00:00+00:00,53.0,63.0,9.245836320785164,10.990333739801232,206.0,132.28571428571428,24.321133412042503,15.61814808568055,144.0,134.14285714285714,23.365547500210937,21.766120141565548,57.0,38.857142857142854,16.91791250767984,11.533013037816835,7.0,5.857142857142857,7.399107878992876,6.19109026609608,164.0,125.14285714285714,17.90115506111498,13.659766405519791,32.0,19.0,12.527354653325034,7.43811682541174,121.0,92.14285714285714,11.516263629164891,8.769763920674562
