DATE,OBJECTID,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown,schoolKids,Age_0_to_9_daily,Age_10_to_19_daily,Age_20_to_29_daily,Age_30_to_39_daily,Age_40_to_49_daily,Age_50_to_59_daily,Age_60_to_69_daily,Age_70_to_79_daily,Age_80plus_daily,schoolKidsDaily,tenderAge,teenagers,20s,30s,40s,50s,60s,70s,80Plus,schoolKids7D,0_9daily100k,10_19daily100k,20_29daily100k,30_39daily100k,40_49daily100k,50_59daily100k,60_69daily100k,70_79daily100k,80plusdaily100k,schoolKidsdaily100K,0_97D100k,10_197D100k,20_297D100k,30_397D100k,40_497D100k,50_597D100k,60_697D100k,70_797D100k,80plus7D100k,schoolKids7D100K
2020-03-29 14:00:00+00:00,1,4,21,165,203,241,243,191,117,54,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30 14:00:00+00:00,2,5,27,188,247,262,274,219,139,53,,32,1.0,6.0,23.0,44.0,21.0,31.0,28.0,22.0,-1.0,7.0,,,,,,,,,,,0.13749352061784087,0.770795087979836,2.8719736577581374,5.209523482519089,2.7822160748495617,3.6404289599646757,3.856334994311906,5.140210935565119,-0.4343746742189944,0.4648926363662929,,,,,,,,,,
2020-03-31 14:00:00+00:00,3,6,32,215,290,304,335,260,157,61,,38,1.0,5.0,27.0,43.0,42.0,61.0,41.0,18.0,8.0,6.0,,,,,,,,,,,0.13749352061784087,0.6423292399831967,3.371447337368248,5.091125221552746,5.564432149699123,7.163424727672427,5.646776241671005,4.205627129098734,3.474997393751955,0.3984794025996796,,,,,,,,,,
2020-04-01 14:00:00+00:00,4,6,39,252,345,372,396,309,187,79,,45,0.0,7.0,37.0,55.0,68.0,61.0,49.0,30.0,18.0,7.0,,,,,,,,,,,0.0,0.8992609359764753,4.620131536393526,6.511904353148861,9.00908062332239,7.163424727672427,6.748586240045836,7.0093785484978905,7.818744135941898,0.4648926363662929,,,,,,,,,,
2020-04-02 14:00:00+00:00,5,9,46,286,410,437,471,357,217,98,,55,3.0,7.0,34.0,65.0,65.0,75.0,48.0,30.0,19.0,10.0,,,,,,,,,,,0.4124805618535226,0.8992609359764753,4.2455262766859425,7.695886962812291,8.611621184058167,8.807489419269379,6.610859990248981,7.0093785484978905,8.253118810160894,0.6641323376661328,,,,,,,,,,
2020-04-03 14:00:00+00:00,6,9,55,335,485,509,552,423,266,124,,64,0.0,9.0,49.0,75.0,72.0,81.0,66.0,49.0,26.0,9.0,,,,,,,,,,,0.0,1.156192631969754,6.118552575223858,8.87986957247572,9.539026542341354,9.512088572810928,9.08993248659235,11.44865162921322,11.293741529693852,0.5977191038995194,,,,,,,,,,
2020-04-04 14:00:00+00:00,7,13,65,379,557,575,625,473,299,139,,78,4.0,10.0,44.0,72.0,66.0,73.0,50.0,33.0,15.0,14.0,,,,,,,,,,,0.5499740824713635,1.2846584799663934,5.49421047571122,8.524674789576691,8.744107663812908,8.572623034755528,6.886312489842689,7.710316403347679,6.515620113284916,0.9297852727325858,,,,,,,,,,
2020-04-05 14:00:00+00:00,8,16,69,422,638,666,736,546,354,162,,85,3.0,4.0,43.0,81.0,91.0,111.0,73.0,55.0,23.0,7.0,1.7142857142857142,6.857142857142857,36.714285714285715,62.142857142857146,60.714285714285715,70.42857142857143,50.714285714285715,33.857142857142854,15.428571428571429,8.571428571428571,0.4124805618535226,0.5138633919865573,5.3693420558086915,9.590259138273778,12.056269657681433,13.035084340518678,10.054016235170327,12.8505273389128,9.99061750703687,0.4648926363662929,0.23570317820201292,0.8809086719769554,4.584454844992804,7.357606217194168,8.043821985109277,8.270651968952006,6.984688382554728,7.91058436187619,6.701780687950198,0.5692562894281138
2020-04-06 14:00:00+00:00,9,16,76,469,718,737,825,597,407,200,,92,0.0,7.0,47.0,80.0,71.0,89.0,51.0,53.0,38.0,7.0,1.5714285714285714,7.0,40.142857142857146,67.28571428571429,67.85714285714286,78.71428571428571,54.0,38.285714285714285,21.0,8.571428571428571,0.0,0.8992609359764753,5.868815735418803,9.471860877307435,9.406540062586613,10.45155411086633,7.024038739639543,12.383235435679607,16.506237620321787,0.4648926363662929,0.2160612466851785,0.8992609359764752,5.01257514180147,7.966511559306789,8.990153983357427,9.243669847652242,7.437217489030104,8.945302147606832,9.121868158598883,0.5692562894281138
2020-04-07 14:00:00+00:00,10,21,82,505,773,795,891,643,445,216,,103,5.0,6.0,36.0,55.0,58.0,66.0,46.0,38.0,16.0,11.0,2.142857142857143,7.142857142857143,41.42857142857143,69.0,70.14285714285714,79.42857142857143,54.714285714285715,41.142857142857146,22.142857142857142,9.285714285714286,0.6874676030892044,0.770795087979836,4.495263116490998,6.511904353148861,7.684215825774979,7.750590688957052,6.335407490655274,8.87854616143066,6.94999478750391,0.7305455714327459,0.2946289727525162,0.9176131999759952,5.173120253104719,8.169480006677663,9.292980222796833,9.327550699264332,7.535593381742143,9.612862009368536,9.618296357706303,0.6166943135471232
