,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,ndate,AADailyCases,AA7Day,AADaily100k1,AA100k7D-County_2019,AADaily100k2,AA100k7D-2019Census,AADaily100k3,AA100k7D-2020Census
0,1,2020/03/15 14:00:00+00,,2,3,1,,,1,,1,,,,2,,,12,9,,,,,,,,,2020-03-15 14:00:00+00:00,,,,,,,,
1,2,2020/03/16 14:00:00+00,,1,4,1,,,1,,1,,,,2,1.0,,10,15,,,,1.0,,,,,2020-03-16 14:00:00+00:00,-1.0,,-0.17252385142245916,,-0.17264179934188947,,-0.1699925713246331,
2,3,2020/03/17 14:00:00+00,,3,6,1,,,1,,1,,1.0,,2,3.0,,24,14,,,,1.0,,,,,2020-03-17 14:00:00+00:00,2.0,,0.3450477028449183,,0.34528359868377895,,0.3399851426492662,
3,4,2020/03/18 14:00:00+00,,4,10,4,,,1,,2,,1.0,,3,8.0,,31,20,,,,1.0,,,,,2020-03-18 14:00:00+00:00,1.0,,0.17252385142245916,,0.17264179934188947,,0.1699925713246331,
4,5,2020/03/19 14:00:00+00,,5,12,8,1.0,,2,,2,,1.0,,3,16.0,,33,23,,,,1.0,,,,,2020-03-19 14:00:00+00:00,1.0,,0.17252385142245916,,0.17264179934188947,,0.1699925713246331,
5,6,2020/03/20 14:00:00+00,,10,13,11,1.0,,3,,2,,1.0,,5,18.0,,51,31,,,,1.0,,1.0,1.0,,2020-03-20 14:00:00+00:00,5.0,,0.8626192571122958,,0.8632089967094474,,0.8499628566231656,
6,7,2020/03/21 14:00:00+00,,15,19,15,1.0,,3,,4,,1.0,,5,19.0,,68,36,,,,1.0,,2.0,1.0,,2020-03-21 14:00:00+00:00,5.0,,0.8626192571122958,,0.8632089967094474,,0.8499628566231656,
7,8,2020/03/22 14:00:00+00,,18,28,24,2.0,1.0,4,1.0,4,,1.0,,5,24.0,,83,40,,1.0,1.0,1.0,1.0,2.0,2.0,,2020-03-22 14:00:00+00:00,3.0,2.2857142857142856,0.5175715542673776,0.3943402318227638,0.5179253980256684,0.39460982706717596,0.5099777139738993,0.3885544487420186
8,9,2020/03/23 14:00:00+00,,20,35,31,2.0,1.0,5,1.0,5,,2.0,3.0,5,26.0,,93,47,1.0,1.0,1.0,1.0,2.0,4.0,2.0,,2020-03-23 14:00:00+00:00,2.0,2.7142857142857144,0.3450477028449183,0.468279025289532,0.34528359868377895,0.46859916964227144,0.3399851426492662,0.46140840788114706
9,10,2020/03/24 14:00:00+00,,24,42,41,3.0,1.0,5,3.0,5,,4.0,3.0,5,30.0,,107,63,1.0,1.0,2.0,1.0,2.0,4.0,2.0,,2020-03-24 14:00:00+00:00,4.0,3.0,0.6900954056898366,0.5175715542673774,0.6905671973675579,0.5179253980256684,0.6799702852985324,0.5099777139738993
10,11,2020/03/25 14:00:00+00,,31,51,53,3.0,1.0,5,4.0,8,,7.0,3.0,5,35.0,1.0,127,76,1.0,1.0,2.0,1.0,2.0,4.0,2.0,,2020-03-25 14:00:00+00:00,7.0,3.857142857142857,1.207666959957214,0.6654491412009139,1.2084925953932262,0.6659040831758594,1.1899479992724318,0.6556856322521564
11,12,2020/03/26 14:00:00+00,,41,81,72,7.0,1.0,7,4.0,10,,14.0,3.0,9,49.0,1.0,164,101,1.0,1.0,4.0,1.0,2.0,5.0,2.0,,2020-03-26 14:00:00+00:00,10.0,5.142857142857143,1.7252385142245916,0.8872655216012186,1.7264179934188948,0.8878721109011458,1.6999257132463312,0.8742475096695417
12,13,2020/03/27 14:00:00+00,,63,103,88,9.0,1.0,9,9.0,17,,15.0,3.0,18,62.0,2.0,208,148,1.0,1.0,4.0,1.0,5.0,5.0,2.0,,2020-03-27 14:00:00+00:00,22.0,7.571428571428571,3.795524731294101,1.3062520179129051,3.798119585521568,1.3071450521600203,3.7398365691419286,1.2870866114579367
13,14,2020/03/28 14:00:00+00,,88,141,112,8.0,1.0,10,13.0,21,,22.0,3.0,21,73.0,2.0,255,196,1.0,1.0,8.0,2.0,6.0,6.0,2.0,,2020-03-28 14:00:00+00:00,25.0,10.428571428571429,4.313096285561478,1.7991773076913595,4.316044983547236,1.80040733599399,4.249814283115827,1.7727796723854596
14,15,2020/03/29 14:00:00+00,,99,162,129,10.0,3.0,82,13.0,28,,24.0,3.0,23,81.0,3.0,301,247,4.0,1.0,8.0,3.0,6.0,6.0,2.0,,2020-03-29 14:00:00+00:00,11.0,11.571428571428571,1.8977623656470506,1.9963474236027416,1.899059792760784,1.9977122495275783,1.8699182845709643,1.967056896756469
15,16,2020/03/30 14:00:00+00,,110,186,152,12.0,4.0,82,13.0,33,,26.0,3.0,24,96.0,3.0,341,294,4.0,1.0,9.0,4.0,7.0,6.0,3.0,,2020-03-30 14:00:00+00:00,11.0,12.857142857142858,1.8977623656470506,2.2181638040030465,1.899059792760784,2.219680277252864,1.8699182845709643,2.185618774173854
16,17,2020/03/31 14:00:00+00,,127,227,187,15.0,4.0,92,14.0,40,,33.0,3.0,25,117.0,3.0,388,341,4.0,1.0,15.0,3.0,11.0,7.0,3.0,,2020-03-31 14:00:00+00:00,17.0,14.714285714285714,2.9329054741818057,2.538565242359042,2.9349105888121207,2.540300761744945,2.8898737125187632,2.501319263776744
17,18,2020/04/01 14:00:00+00,,158,289,221,18.0,4.0,96,16.0,56,1.0,35.0,3.0,34,142.0,3.0,447,403,7.0,4.0,19.0,3.0,15.0,7.0,4.0,,2020-04-01 14:00:00+00:00,31.0,18.142857142857142,5.348239394096233,3.1300755900931874,5.351895779598573,3.1322155023457086,5.269769711063627,3.0841509368897726
18,19,2020/04/02 14:00:00+00,1.0,206,353,265,22.0,4.0,105,20.0,69,1.0,45.0,3.0,37,152.0,5.0,498,473,8.0,4.0,27.0,4.0,17.0,7.0,5.0,,2020-04-02 14:00:00+00:00,48.0,23.571428571428573,8.28114486827804,4.066633640672252,8.286806368410694,4.069413841630252,8.15964342358239,4.006967752652066
19,20,2020/04/03 14:00:00+00,2.0,249,427,313,30.0,4.0,129,25.0,90,1.0,54.0,3.0,41,166.0,5.0,566,563,12.0,4.0,30.0,5.0,27.0,7.0,5.0,,2020-04-03 14:00:00+00:00,43.0,26.571428571428573,7.418525611165743,4.584205194939629,7.423597371701247,4.58733923965592,7.309680566959225,4.516945466625965
20,21,2020/04/04 14:00:00+00,3.0,289,491,343,33.0,4.0,134,33.0,95,1.0,73.0,3.0,44,180.0,5.0,640,653,13.0,4.0,34.0,6.0,29.0,8.0,7.0,,2020-04-04 14:00:00+00:00,40.0,28.714285714285715,6.9009540568983665,4.953899162273471,6.905671973675579,4.9572859525313975,6.799702852985325,4.881215262321609
21,22,2020/04/05 14:00:00+00,6.0,319,590,394,39.0,4.0,142,36.0,111,1.0,112.0,3.0,52,199.0,5.0,693,785,13.0,4.0,40.0,7.0,34.0,11.0,9.0,,2020-04-05 14:00:00+00:00,30.0,31.428571428571427,5.175715542673775,5.422178187563001,5.179253980256684,5.425885122173669,5.099777139738993,5.342623670202755
22,23,2020/04/06 14:00:00+00,6.0,343,648,435,40.0,6.0,150,37.0,129,1.0,138.0,3.0,55,214.0,5.0,793,916,15.0,4.0,41.0,8.0,37.0,11.0,10.0,,2020-04-06 14:00:00+00:00,24.0,33.285714285714285,4.14057243413902,5.7425796259189985,4.143403184205347,5.74650560666575,4.079821711791195,5.6583241598056455
23,24,2020/04/07 14:00:00+00,7.0,370,652,459,41.0,11.0,159,41.0,136,3.0,151.0,3.0,59,236.0,8.0,871,1020,15.0,4.0,46.0,8.0,44.0,17.0,10.0,,2020-04-07 14:00:00+00:00,27.0,34.714285714285715,4.6581439884063975,5.989042270808225,4.6613285822310155,5.993136748582734,4.589799425765094,5.901170690269407
24,25,2020/04/08 14:00:00+00,6.0,466,866,571,56.0,11.0,186,49.0,164,4.0,199.0,5.0,86,274.0,9.0,1088,1310,16.0,4.0,62.0,10.0,57.0,20.0,10.0,,2020-04-08 14:00:00+00:00,96.0,44.0,16.56228973655608,7.591049462588203,16.57361273682139,7.596239171043137,16.31928684716478,7.479673138283857
25,26,2020/04/09 14:00:00+00,8.0,505,979,638,66.0,12.0,203,54.0,180,7.0,233.0,5.0,101,299.0,9.0,1214,1476,17.0,4.0,65.0,13.0,60.0,21.0,16.0,,2020-04-09 14:00:00+00:00,39.0,42.714285714285715,6.728430205475907,7.369233082187899,6.733030174333689,7.37427114331785,6.629710281660691,7.261111260866471
26,27,2020/04/10 14:00:00+00,10.0,554,1072,689,76.0,12.0,214,64.0,220,7.0,289.0,4.0,110,319.0,9.0,1388,1716,17.0,4.0,71.0,13.0,66.0,28.0,16.0,,2020-04-10 14:00:00+00:00,49.0,43.57142857142857,8.453668719700499,7.517110669121435,8.459448167752583,7.52224982846804,8.329635994907022,7.406819179144729
27,28,2020/04/11 14:00:00+00,11.0,615,1173,756,82.0,15.0,214,66.0,235,8.0,341.0,4.0,120,351.0,10.0,1537,1923,19.0,4.0,73.0,13.0,72.0,33.0,19.0,,2020-04-11 14:00:00+00:00,61.0,46.57142857142857,10.523954936770009,8.034682223388812,10.531149759855257,8.040175226493709,10.36954685080262,7.916796893118628
28,29,2020/04/12 14:00:00+00,13.0,659,1257,812,90.0,17.0,236,74.0,253,9.0,368.0,4.0,129,371.0,11.0,1631,2035,19.0,4.0,82.0,14.0,75.0,42.0,20.0,,2020-04-12 14:00:00+00:00,44.0,48.57142857142857,7.591049462588202,8.37972992623373,7.596239171043136,8.385458825177489,7.479673138283857,8.256782035767895
29,30,2020/04/13 14:00:00+00,15.0,724,1361,873,94.0,21.0,250,83.0,274,12.0,417.0,4.0,142,386.0,11.0,1756,2205,19.0,6.0,95.0,16.0,93.0,58.0,21.0,,2020-04-13 14:00:00+00:00,65.0,54.42857142857143,11.214050342459846,9.390226770279563,11.221716957222815,9.396646507037127,11.049517136101153,9.252452810669316
30,31,2020/04/14 14:00:00+00,17.0,783,1377,962,99.0,21.0,259,85.0,292,14.0,441.0,4.0,147,403.0,11.0,1883,2356,19.0,5.0,98.0,16.0,96.0,63.0,21.0,0.0,2020-04-14 14:00:00+00:00,59.0,59.0,10.178907233925091,10.17890723392509,10.185866161171479,10.185866161171479,10.029561708153354,10.029561708153354
31,32,2020/04/15 14:00:00+00,17.0,845,1485,1060,102.0,22.0,262,90.0,310,16.0,442.0,4.0,152,424.0,11.0,1933,2516,19.0,5.0,99.0,14.0,106.0,76.0,22.0,0.0,2020-04-15 14:00:00+00:00,62.0,54.142857142857146,10.696478788192467,9.340934241301719,10.703791559197146,9.34732027865373,10.539539422127254,9.203883504576565
32,33,2020/04/16 14:00:00+00,20.0,896,1516,1160,103.0,23.0,283,101.0,327,18.0,497.0,4.0,161,451.0,11.0,2133,2722,19.0,6.0,98.0,14.0,109.0,87.0,25.0,0.0,2020-04-16 14:00:00+00:00,51.0,55.857142857142854,8.798716422545416,9.636689415168789,8.804731766436362,9.643277648954111,8.66962113755629,9.495299341133078
33,34,2020/04/17 14:00:00+00,26.0,966,1569,1273,109.0,28.0,288,127.0,337,20.0,525.0,4.0,176,475.0,14.0,2280,2966,19.0,9.0,100.0,14.0,116.0,103.0,28.0,0.0,2020-04-17 14:00:00+00:00,70.0,58.857142857142854,12.076669599572142,10.154260969436168,12.084925953932261,10.161203046979779,11.899479992724318,10.005277055106978
34,35,2020/04/18 14:00:00+00,33.0,1005,1664,1378,109.0,33.0,308,131.0,347,20.0,557.0,4.0,195,508.0,16.0,2404,3160,24.0,10.0,101.0,16.0,116.0,138.0,31.0,0.0,2020-04-18 14:00:00+00:00,39.0,55.714285714285715,6.728430205475907,9.612043150679867,6.733030174333689,9.618614534762413,6.629710281660691,9.471014688086703
35,36,2020/04/19 14:00:00+00,33.0,1047,1733,1392,113.0,33.0,313,131.0,370,21.0,591.0,4.0,210,515.0,18.0,2507,3345,25.0,10.0,105.0,19.0,117.0,145.0,33.0,0.0,2020-04-19 14:00:00+00:00,42.0,55.42857142857143,7.246001759743285,9.562750621702023,7.2509555723593575,9.569288306379017,7.139687995634591,9.42244538199395
36,37,2020/04/20 14:00:00+00,32.0,1098,1875,1511,114.0,39.0,335,134.0,392,23.0,616.0,4.0,226,538.0,28.0,2647,3583,26.0,11.0,107.0,22.0,123.0,166.0,34.0,0.0,2020-04-20 14:00:00+00:00,51.0,53.42857142857143,8.798716422545416,9.217702918857103,8.804731766436362,9.224004707695238,8.66962113755629,9.082460239344684
37,38,2020/04/21 14:00:00+00,56.0,1157,1925,1542,116.0,41.0,330,134.0,401,25.0,632.0,4.0,232,565.0,29.0,2768,3734,27.0,11.0,107.0,22.0,126.0,176.0,33.0,0.0,2020-04-21 14:00:00+00:00,59.0,53.42857142857143,10.178907233925091,9.217702918857103,10.185866161171479,9.224004707695238,10.029561708153354,9.082460239344684
38,39,2020/04/22 14:00:00+00,58.0,1190,2012,1602,118.0,41.0,344,134.0,427,28.0,658.0,4.0,267,592.0,36.0,2868,3875,31.0,11.0,112.0,23.0,127.0,183.0,34.0,0.0,2020-04-22 14:00:00+00:00,33.0,49.285714285714285,5.693287096941152,8.502961248678345,5.697179378282352,8.50877439613598,5.609754853712893,8.378205300999776
39,40,2020/04/23 14:00:00+00,77.0,1294,2132,1672,121.0,50.0,355,140.0,442,31.0,690.0,4.0,280,618.0,64.0,3060,4141,33.0,12.0,115.0,25.0,139.0,203.0,39.0,0.0,2020-04-23 14:00:00+00:00,104.0,56.857142857142854,17.94248054793575,9.809213266591248,17.954747131556502,9.815919448296,17.679227417761844,9.665291912457713
40,41,2020/04/24 14:00:00+00,90.0,1373,2234,1728,125.0,55.0,372,144.0,459,32.0,765.0,4.0,289,642.0,67.0,3227,4403,43.0,13.0,119.0,23.0,143.0,222.0,44.0,0.0,2020-04-24 14:00:00+00:00,79.0,58.142857142857146,13.629384262374273,10.031029646991554,13.638702148009267,10.037887476021286,13.429413134646015,9.883853789875095
41,42,2020/04/25 14:00:00+00,105.0,1430,2387,1791,130.0,61.0,384,146.0,483,38.0,814.0,4.0,302,686.0,67.0,3483,4795,52.0,14.0,124.0,28.0,154.0,242.0,46.0,0.0,2020-04-25 14:00:00+00:00,57.0,60.714285714285715,9.833859531080172,10.474662407792165,9.8405825624877,10.48182353147186,9.689576565504087,10.320977544709868
42,43,2020/04/26 14:00:00+00,113.0,1510,2509,1866,134.0,63.0,391,154.0,504,46.0,834.0,4.0,319,707.0,68.0,3645,4987,53.0,16.0,133.0,34.0,173.0,270.0,48.0,0.0,2020-04-26 14:00:00+00:00,80.0,66.14285714285714,13.801908113796733,11.411220458371227,13.811343947351158,11.419021870756401,13.59940570597065,11.243794360472164
43,44,2020/04/27 14:00:00+00,114.0,1544,2548,1933,138.0,68.0,403,163.0,529,51.0,865.0,4.0,352,778.0,70.0,3843,5263,54.0,19.0,144.0,34.0,181.0,336.0,53.0,0.0,2020-04-27 14:00:00+00:00,34.0,63.714285714285715,5.865810948363611,10.99223396205954,5.8698211776242415,10.999748929497528,5.7797474250375265,10.830955258683769
44,45,2020/04/28 14:00:00+00,115.0,1571,2631,1977,139.0,69.0,416,163.0,539,52.0,870.0,4.0,358,802.0,73.0,4003,5496,55.0,20.0,145.0,34.0,187.0,340.0,54.0,0.0,2020-04-28 14:00:00+00:00,27.0,59.142857142857146,4.6581439884063975,10.203553498414013,4.6613285822310155,10.210529275363177,4.589799425765094,10.053846361199732
45,46,2020/04/29 14:00:00+00,116.0,1662,2740,2014,142.0,69.0,421,164.0,551,51.0,893.0,4.0,371,831.0,73.0,4152,5738,55.0,21.0,145.0,34.0,197.0,350.0,55.0,0.0,2020-04-29 14:00:00+00:00,91.0,67.42857142857143,15.699670479443784,11.633036838771531,15.71040374011194,11.640989898481688,15.469323990541614,11.462356237889548
46,47,2020/04/30 14:00:00+00,118.0,1725,2831,2068,150.0,71.0,436,167.0,564,51.0,918.0,4.0,414,867.0,79.0,4300,6043,52.0,26.0,150.0,35.0,206.0,406.0,61.0,0.0,2020-04-30 14:00:00+00:00,63.0,61.57142857142857,10.869002639614926,10.622539994725699,10.876433358539037,10.629802216622052,10.709531993451886,10.466685462988124
47,48,2020/05/01 14:00:00+00,118.0,1807,3013,2162,161.0,74.0,460,176.0,611,54.0,942.0,4.0,437,896.0,86.0,4754,6735,52.0,30.0,159.0,35.0,216.0,425.0,65.0,0.0,2020-05-01 14:00:00+00:00,82.0,62.0,14.14695581664165,10.696478788192467,14.156627546034937,10.703791559197146,13.939390848619917,10.539539422127254
48,49,2020/05/02 14:00:00+00,121.0,1885,3183,2237,160.0,79.0,480,187.0,622,59.0,976.0,4.0,468,931.0,80.0,4919,7041,57.0,32.0,164.0,39.0,225.0,452.0,72.0,0.0,2020-05-02 14:00:00+00:00,78.0,65.0,13.456860410951814,11.214050342459844,13.466060348667378,11.221716957222815,13.259420563321383,11.049517136101153
49,50,2020/05/03 14:00:00+00,124.0,1959,3301,2319,162.0,95.0,494,188.0,637,71.0,1004.0,4.0,479,969.0,91.0,5150,7333,60.0,33.0,165.0,44.0,232.0,473.0,75.0,0.0,2020-05-03 14:00:00+00:00,74.0,64.14285714285714,12.766765005261979,11.066172755526308,12.77549315129982,11.073738272072623,12.57945027802285,10.903809217822896
50,51,2020/05/04 14:00:00+00,126.0,2018,3448,2411,171.0,98.0,506,194.0,651,75.0,1038.0,4.0,491,992.0,95.0,5384,7598,63.0,35.0,168.0,45.0,237.0,480.0,80.0,0.0,2020-05-04 14:00:00+00:00,59.0,67.71428571428571,10.178907233925091,11.682329367749379,10.185866161171479,11.690316126865085,10.029561708153354,11.5109255439823
51,52,2020/05/05 14:00:00+00,129.0,2045,3430,2609,174.0,99.0,513,195.0,660,76.0,1071.0,4.0,499,1010.0,95.0,5541,7831,65.0,37.0,170.0,45.0,238.0,500.0,81.0,0.0,2020-05-05 14:00:00+00:00,27.0,67.71428571428571,4.6581439884063975,11.682329367749377,4.6613285822310155,11.690316126865087,4.589799425765094,11.5109255439823
52,53,2020/05/06 14:00:00+00,129.0,2085,3527,2752,184.0,101.0,521,200.0,670,79.0,1108.0,4.0,532,1061.0,94.0,5790,8135,67.0,39.0,186.0,45.0,251.0,517.0,86.0,0.0,2020-05-06 14:00:00+00:00,40.0,60.42857142857143,6.9009540568983665,10.425369878814319,6.905671973675579,10.432497303088464,6.799702852985325,10.272408238617114
53,54,2020/05/07 14:00:00+00,143.0,2194,3662,2856,188.0,105.0,534,208.0,698,85.0,1151.0,4.0,552,1098.0,98.0,6032,8516,68.0,40.0,193.0,52.0,260.0,541.0,96.0,0.0,2020-05-07 14:00:00+00:00,109.0,67.0,18.805099805048048,11.559098045304763,18.81795612826595,11.567000555906594,18.52919027438501,11.389502278750419
54,55,2020/05/08 14:00:00+00,143.0,2290,3763,2941,191.0,107.0,542,211.0,716,86.0,1182.0,5.0,572,1138.0,98.0,6316,8901,70.0,41.0,207.0,55.0,259.0,553.0,98.0,0.0,2020-05-08 14:00:00+00:00,96.0,69.0,16.56228973655608,11.904145748149682,16.57361273682139,11.912284154590372,16.31928684716478,11.729487421399684
55,56,2020/05/09 14:00:00+00,144.0,2372,3737,3208,202.0,110.0,551,219.0,729,91.0,1213.0,6.0,589,1170.0,102.0,6555,9205,72.0,42.0,234.0,58.0,265.0,558.0,102.0,0.0,2020-05-09 14:00:00+00:00,82.0,69.57142857142857,14.14695581664165,12.002730806105372,14.156627546034937,12.010936611357167,13.939390848619917,11.826626033585189
56,57,2020/05/10 14:00:00+00,146.0,2463,3862,3317,206.0,133.0,560,242.0,748,95.0,1251.0,6.0,605,1205.0,113.0,6762,9496,80.0,43.0,241.0,60.0,276.0,571.0,106.0,0.0,2020-05-10 14:00:00+00:00,91.0,72.0,15.699670479443784,12.42171730241706,15.71040374011194,12.43020955261604,15.469323990541614,12.239465135373583
57,58,2020/05/11 14:00:00+00,146.0,2492,3948,3353,209.0,167.0,583,267.0,756,98.0,1267.0,6.0,605,1223.0,116.0,6909,9687,100.0,50.0,244.0,61.0,283.0,690.0,113.0,0.0,2020-05-11 14:00:00+00:00,29.0,67.71428571428571,5.003191691251316,11.682329367749377,5.006612180914795,11.690316126865087,4.929784568414361,11.5109255439823
58,59,2020/05/12 14:00:00+00,148.0,2520,4051,3404,211.0,174.0,589,270.0,761,102.0,1282.0,6.0,614,1234.0,120.0,7130,9892,103.0,51.0,246.0,61.0,284.0,694.0,114.0,0.0,2020-05-12 14:00:00+00:00,28.0,67.85714285714286,4.830667839828856,11.7069756322383,4.833970381572905,11.714979241056785,4.759791997089727,11.535210197028675
59,60,2020/05/13 14:00:00+00,149.0,2596,4160,3476,214.0,177.0,595,271.0,778,102.0,1302.0,6.0,629,1258.0,123.0,7283,10072,104.0,51.0,254.0,62.0,287.0,738.0,125.0,0.0,2020-05-13 14:00:00+00:00,76.0,73.0,13.111812708106894,12.59424115383952,13.1207767499836,12.602851351957929,12.919435420672118,12.40945770669822
60,61,2020/05/14 14:00:00+00,150.0,2661,4290,3505,225.0,183.0,619,291.0,796,104.0,1325.0,6.0,663,1285.0,125.0,7548,10449,106.0,51.0,271.0,64.0,305.0,754.0,127.0,0.0,2020-05-14 14:00:00+00:00,65.0,66.71428571428571,11.214050342459846,11.509805516326919,11.221716957222815,11.517674327523197,11.049517136101153,11.340932972657667
61,62,2020/05/15 14:00:00+00,151.0,2752,4399,3606,228.0,190.0,635,300.0,829,107.0,1364.0,6.0,671,1313.0,131.0,7759,10791,108.0,54.0,299.0,65.0,320.0,777.0,131.0,0.0,2020-05-15 14:00:00+00:00,91.0,66.0,15.699670479443784,11.386574193882305,15.71040374011194,11.394358756564703,15.469323990541614,11.219509707425786
62,63,2020/05/16 14:00:00+00,160.0,2801,4549,3719,237.0,200.0,633,308.0,844,111.0,1402.0,7.0,678,1352.0,138.0,7988,11031,112.0,55.0,306.0,68.0,332.0,801.0,136.0,0.0,2020-05-16 14:00:00+00:00,49.0,61.285714285714285,8.453668719700499,10.573247465747855,8.459448167752583,10.580475988238652,8.329635994907022,10.41811615689537
63,64,2020/05/17 14:00:00+00,161.0,2856,4624,3798,241.0,191.0,646,308.0,859,111.0,1423.0,6.0,687,1378.0,137.0,8206,11316,125.0,57.0,313.0,68.0,338.0,818.0,137.0,0.0,2020-05-17 14:00:00+00:00,55.0,56.142857142857146,9.488811828235253,9.685981944146635,9.49529896380392,9.692603877337508,9.349591422854822,9.543868647225832
64,65,2020/05/18 14:00:00+00,164.0,2893,4749,3830,245.0,200.0,703,318.0,867,122.0,1460.0,7.0,695,1416.0,140.0,8417,11608,129.0,61.0,326.0,68.0,343.0,837.0,164.0,0.0,2020-05-18 14:00:00+00:00,37.0,57.285714285714285,6.383382502630989,9.883152060058018,6.38774657564991,9.889908790871095,6.289725139011425,9.73814587159684
65,66,2020/05/19 14:00:00+00,166.0,2981,4920,4002,255.0,208.0,712,323.0,895,122.0,1491.0,7.0,709,1465.0,144.0,8950,12240,133.0,62.0,338.0,68.0,352.0,839.0,164.0,0.0,2020-05-19 14:00:00+00:00,88.0,65.85714285714286,15.182098925176405,11.361927929393383,15.192478342086272,11.369695642373005,14.959346276567715,11.195225054379408
66,67,2020/05/20 14:00:00+00,166.0,3033,5025,4152,259.0,210.0,720,328.0,921,122.0,1533.0,7.0,721,1494.0,145.0,9052,12446,135.0,64.0,340.0,69.0,364.0,848.0,169.0,0.0,2020-05-20 14:00:00+00:00,52.0,62.42857142857143,8.971240273967876,10.770417581659236,8.977373565778251,10.777780901772243,8.839613708880922,10.612393381266383
67,68,2020/05/21 14:00:00+00,166.0,3132,5135,4339,278.0,216.0,733,331.0,943,124.0,1568.0,7.0,737,1548.0,143.0,9260,12830,141.0,71.0,357.0,70.0,377.0,844.0,181.0,0.0,2020-05-21 14:00:00+00:00,99.0,67.28571428571429,17.079861290823455,11.608390574282609,17.091538134847056,11.61632678428999,16.82926456113868,11.438071584843172
68,69,2020/05/22 14:00:00+00,168.0,3207,5170,4492,291.0,223.0,755,339.0,956,126.0,1625.0,7.0,746,1586.0,146.0,9432,13077,141.0,71.0,370.0,73.0,389.0,854.0,180.0,0.0,2020-05-22 14:00:00+00:00,75.0,65.0,12.939288856684435,11.214050342459844,12.948134950641709,11.221716957222814,12.749442849347483,11.049517136101153
69,70,2020/05/23 14:00:00+00,168.0,3282,5290,4673,298.0,231.0,765,342.0,969,126.0,1661.0,7.0,764,1638.0,148.0,9699,13324,146.0,71.0,379.0,77.0,398.0,859.0,180.0,0.0,2020-05-23 14:00:00+00:00,75.0,68.71428571428571,12.939288856684435,11.854853219171835,12.948134950641709,11.862957926206976,12.749442849347483,11.680918115306934
70,71,2020/05/24 14:00:00+00,170.0,3307,5373,4782,304.0,240.0,783,345.0,989,127.0,1696.0,7.0,780,1667.0,152.0,9922,13521,146.0,72.0,393.0,79.0,408.0,867.0,183.0,0.0,2020-05-24 14:00:00+00:00,25.0,64.42857142857143,4.313096285561478,11.115465284504154,4.316044983547236,11.123064500456021,4.249814283115827,10.952378523915646
71,72,2020/05/25 14:00:00+00,176.0,3357,5476,4888,307.0,241.0,802,348.0,997,128.0,1731.0,10.0,789,1716.0,155.0,10111,13726,151.0,72.0,395.0,86.0,413.0,892.0,185.0,0.0,2020-05-25 14:00:00+00:00,50.0,66.28571428571429,8.626192571122957,11.43586672286015,8.632089967094473,11.443684984948103,8.499628566231655,11.26807901351854
72,73,2020/05/26 14:00:00+00,176.0,3394,5498,4997,308.0,243.0,811,353.0,1001,130.0,1746.0,10.0,795,1732.0,158.0,10291,13819,151.0,73.0,400.0,86.0,413.0,908.0,194.0,0.0,2020-05-26 14:00:00+00:00,37.0,59.0,6.383382502630989,10.178907233925088,6.38774657564991,10.185866161171477,6.289725139011425,10.029561708153354
73,74,2020/05/27 14:00:00+00,177.0,3448,5562,5054,314.0,243.0,817,354.0,1008,133.0,1786.0,10.0,801,1760.0,160.0,10467,14100,151.0,73.0,400.0,84.0,418.0,910.0,193.0,0.0,2020-05-27 14:00:00+00:00,54.0,59.285714285714285,9.316287976812795,10.228199762902936,9.322657164462031,10.235192389554873,9.179598851530187,10.078131014246107
74,75,2020/05/28 14:00:00+00,178.0,3556,5678,5203,320.0,245.0,840,356.0,1027,136.0,1824.0,10.0,827,1815.0,165.0,10752,14508,152.0,73.0,417.0,87.0,423.0,919.0,198.0,0.0,2020-05-28 14:00:00+00:00,108.0,60.57142857142857,18.63257595362559,10.45001614330324,18.645314328924062,10.45716041728016,18.359197703060374,10.296692891663488
75,76,2020/05/29 14:00:00+00,177.0,3643,5819,5426,329.0,248.0,861,364.0,1056,140.0,1856.0,10.0,854,1868.0,167.0,11035,14773,160.0,73.0,460.0,91.0,441.0,931.0,206.0,0.0,2020-05-29 14:00:00+00:00,87.0,62.285714285714285,15.009575073753945,10.745771317170313,15.019836542744383,10.753117787580544,14.78935370524308,10.588108728220005
76,77,2020/05/30 14:00:00+00,177.0,3743,5955,5564,334.0,253.0,880,366.0,1085,141.0,1890.0,10.0,861,1905.0,170.0,11251,15022,159.0,73.0,471.0,96.0,456.0,943.0,210.0,0.0,2020-05-30 14:00:00+00:00,100.0,65.85714285714286,17.252385142245913,11.36192792939338,17.264179934188945,11.369695642373005,16.99925713246331,11.195225054379408
77,78,2020/05/31 14:00:00+00,178.0,3785,6065,5664,341.0,259.0,913,371.0,1108,142.0,1911.0,10.0,882,1928.0,173.0,11361,15220,160.0,73.0,499.0,99.0,469.0,953.0,214.0,0.0,2020-05-31 14:00:00+00:00,42.0,68.28571428571429,7.246001759743285,11.780914425705067,7.2509555723593575,11.78896858363188,7.139687995634591,11.608064156167803
