,date,cases,deaths,CasesDaily,Cases7D,DailyCases100k,Cases100k7D,TotalCasesPast7Days,DailyDeaths,Deaths7D,DailyDeaths100k,Deaths100k7D,Cases100k7DDiff,TotalCasespast7days100k
0,2020-01-21,1,0,,,,,,,,,,,
1,2020-01-22,1,0,0.0,,0.0,,,0.0,,0.0,,,
2,2020-01-23,1,0,0.0,,0.0,,,0.0,,0.0,,,
3,2020-01-24,2,0,1.0,,0.0003046555731193894,,,0.0,,0.0,,,
4,2020-01-25,3,0,1.0,,0.0003046555731193894,,,0.0,,0.0,,,
5,2020-01-26,5,0,2.0,,0.0006093111462387788,,,0.0,,0.0,,,
6,2020-01-27,5,0,0.0,,0.0,,,0.0,,0.0,,,
7,2020-01-28,5,0,0.0,0.5714285714285714,0.0,0.00017408889892536536,4.0,0.0,0.0,0.0,0.0,,0.0012186222924775575
8,2020-01-29,5,0,0.0,0.5714285714285714,0.0,0.00017408889892536536,4.0,0.0,0.0,0.0,0.0,0.0,0.0012186222924775575
9,2020-01-30,6,0,1.0,0.7142857142857143,0.0003046555731193894,0.00021761112365670671,5.0,0.0,0.0,0.0,0.0,4.352222473134136e-05,0.001523277865596947
10,2020-01-31,7,0,1.0,0.7142857142857143,0.0003046555731193894,0.00021761112365670671,5.0,0.0,0.0,0.0,0.0,0.0,0.001523277865596947
11,2020-02-01,8,0,1.0,0.7142857142857143,0.0003046555731193894,0.00021761112365670671,5.0,0.0,0.0,0.0,0.0,0.0,0.001523277865596947
12,2020-02-02,11,0,3.0,0.8571428571428571,0.0009139667193581682,0.00026113334838804805,6.0,0.0,0.0,0.0,0.0,4.352222473134133e-05,0.0018279334387163364
13,2020-02-03,11,0,0.0,0.8571428571428571,0.0,0.00026113334838804805,6.0,0.0,0.0,0.0,0.0,0.0,0.0018279334387163364
14,2020-02-04,11,0,0.0,0.8571428571428571,0.0,0.00026113334838804805,6.0,0.0,0.0,0.0,0.0,0.0,0.0018279334387163364
15,2020-02-05,12,0,1.0,1.0,0.0003046555731193894,0.0003046555731193894,7.0,0.0,0.0,0.0,0.0,4.352222473134133e-05,0.002132589011835726
16,2020-02-06,12,0,0.0,0.8571428571428571,0.0,0.00026113334838804805,6.0,0.0,0.0,0.0,0.0,-4.352222473134133e-05,0.0018279334387163364
17,2020-02-07,12,0,0.0,0.7142857142857143,0.0,0.00021761112365670671,5.0,0.0,0.0,0.0,0.0,-4.352222473134133e-05,0.001523277865596947
18,2020-02-08,12,0,0.0,0.5714285714285714,0.0,0.00017408889892536538,4.0,0.0,0.0,0.0,0.0,-4.352222473134133e-05,0.0012186222924775575
19,2020-02-09,12,0,0.0,0.14285714285714285,0.0,4.352222473134134e-05,1.0,0.0,0.0,0.0,0.0,-0.00013056667419402405,0.0003046555731193894
20,2020-02-10,13,0,1.0,0.2857142857142857,0.0003046555731193894,8.704444946268268e-05,2.0,0.0,0.0,0.0,0.0,4.352222473134134e-05,0.0006093111462387788
21,2020-02-11,13,0,0.0,0.2857142857142857,0.0,8.704444946268268e-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0006093111462387788
22,2020-02-12,14,0,1.0,0.2857142857142857,0.0003046555731193894,8.704444946268268e-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0006093111462387788
23,2020-02-13,15,0,1.0,0.42857142857142855,0.0003046555731193894,0.00013056667419402402,3.0,0.0,0.0,0.0,0.0,4.3522224731341346e-05,0.0009139667193581682
24,2020-02-14,15,0,0.0,0.42857142857142855,0.0,0.00013056667419402402,3.0,0.0,0.0,0.0,0.0,0.0,0.0009139667193581682
25,2020-02-15,15,0,0.0,0.42857142857142855,0.0,0.00013056667419402402,3.0,0.0,0.0,0.0,0.0,0.0,0.0009139667193581682
26,2020-02-16,15,0,0.0,0.42857142857142855,0.0,0.00013056667419402402,3.0,0.0,0.0,0.0,0.0,0.0,0.0009139667193581682
27,2020-02-17,25,0,10.0,1.7142857142857142,0.003046555731193894,0.0005222666967760961,12.0,0.0,0.0,0.0,0.0,0.0003917000225820721,0.0036558668774326728
28,2020-02-18,25,0,0.0,1.7142857142857142,0.0,0.0005222666967760961,12.0,0.0,0.0,0.0,0.0,0.0,0.0036558668774326728
29,2020-02-19,25,0,0.0,1.5714285714285714,0.0,0.0004787444720447547,11.0,0.0,0.0,0.0,0.0,-4.3522224731341386e-05,0.003351211304313283
30,2020-02-20,27,0,2.0,1.7142857142857142,0.0006093111462387788,0.0005222666967760961,12.0,0.0,0.0,0.0,0.0,4.3522224731341386e-05,0.0036558668774326728
31,2020-02-21,30,0,3.0,2.142857142857143,0.0009139667193581682,0.0006528333709701201,15.0,0.0,0.0,0.0,0.0,0.000130566674194024,0.00456983359679084
32,2020-02-22,30,0,0.0,2.142857142857143,0.0,0.0006528333709701201,15.0,0.0,0.0,0.0,0.0,0.0,0.00456983359679084
33,2020-02-23,30,0,0.0,2.142857142857143,0.0,0.0006528333709701201,15.0,0.0,0.0,0.0,0.0,0.0,0.00456983359679084
34,2020-02-24,43,0,13.0,2.5714285714285716,0.003960522450552062,0.0007834000451641441,18.0,0.0,0.0,0.0,0.0,0.000130566674194024,0.005483800316149009
35,2020-02-25,45,0,2.0,2.857142857142857,0.0006093111462387788,0.0008704444946268268,20.0,0.0,0.0,0.0,0.0,8.704444946268266e-05,0.006093111462387788
36,2020-02-26,60,0,15.0,5.0,0.00456983359679084,0.0015232778655969467,35.0,0.0,0.0,0.0,0.0,0.00065283337097012,0.010662945059178629
37,2020-02-27,60,0,0.0,4.714285714285714,0.0,0.001436233416134264,33.0,0.0,0.0,0.0,0.0,-8.704444946268266e-05,0.01005363391293985
38,2020-02-28,65,0,5.0,5.0,0.001523277865596947,0.0015232778655969467,35.0,0.0,0.0,0.0,0.0,8.704444946268266e-05,0.010662945059178629
39,2020-02-29,70,1,5.0,5.714285714285714,0.001523277865596947,0.0017408889892536537,40.0,1.0,0.14285714285714285,0.0003046555731193894,4.352222473134134e-05,0.00021761112365670699,0.012186222924775576
40,2020-03-01,88,3,18.0,8.285714285714286,0.005483800316149009,0.002524289034417798,58.0,2.0,0.42857142857142855,0.0006093111462387788,0.00013056667419402402,0.0007834000451641442,0.017670023240924586
41,2020-03-02,104,6,16.0,8.714285714285714,0.00487448916991023,0.002654855708611822,61.0,3.0,0.8571428571428571,0.0009139667193581682,0.00026113334838804805,0.0001305666741940239,0.018583989960282755
42,2020-03-03,125,10,21.0,11.428571428571429,0.0063977670355071774,0.0034817779785073074,80.0,4.0,1.4285714285714286,0.0012186222924775575,0.00043522224731341343,0.0008269222698954856,0.02437244584955115
43,2020-03-04,161,12,36.0,14.428571428571429,0.010967600632298019,0.0043957446978654755,101.0,2.0,1.7142857142857142,0.0006093111462387788,0.0005222666967760961,0.0009139667193581681,0.03077021288505833
44,2020-03-05,228,12,67.0,24.0,0.02041192339899909,0.0073117337548653455,168.0,0.0,1.7142857142857142,0.0,0.0005222666967760961,0.00291598905699987,0.05118213628405742
45,2020-03-06,311,15,83.0,35.142857142857146,0.02528641256890932,0.010706467283909971,246.0,3.0,2.142857142857143,0.0009139667193581682,0.0006528333709701202,0.0033947335290446254,0.07494527098736979
46,2020-03-07,428,19,117.0,51.142857142857146,0.035644702054968565,0.0155809564538202,358.0,4.0,2.5714285714285716,0.0012186222924775575,0.0007834000451641441,0.004874489169910229,0.1090666951767414
47,2020-03-08,547,22,119.0,65.57142857142857,0.036254013201207344,0.019976701151685677,459.0,3.0,2.7142857142857144,0.0009139667193581682,0.0008269222698954854,0.004395744697865477,0.13983690806179974
48,2020-03-09,748,26,201.0,92.0,0.061235770196997275,0.028028312726983827,644.0,4.0,2.857142857142857,0.0012186222924775575,0.0008704444946268269,0.00805161157529815,0.19619818908888675
49,2020-03-10,1018,31,270.0,127.57142857142857,0.08225700474223514,0.03886534668508782,893.0,5.0,3.0,0.001523277865596947,0.0009139667193581682,0.010837033958103995,0.27205742679561473
50,2020-03-11,1263,37,245.0,157.42857142857142,0.0746406154142504,0.04796149165393816,1102.0,6.0,3.5714285714285716,0.0018279334387163364,0.0010880556182835336,0.00909614496885034,0.33573044157756715
51,2020-03-12,1668,43,405.0,205.71428571428572,0.12338550711335271,0.06267200361313154,1440.0,6.0,4.428571428571429,0.0018279334387163364,0.0013491889666715818,0.014710511959193373,0.4387040252919207
52,2020-03-13,2224,50,556.0,273.2857142857143,0.1693884986543805,0.08325801591105599,1913.0,7.0,5.0,0.002132589011835726,0.0015232778655969467,0.02058601229792445,0.5828061113773919
53,2020-03-14,2898,60,674.0,352.85714285714283,0.20533785628246845,0.10749989508641311,2470.0,10.0,5.857142857142857,0.003046555731193894,0.001784411213984995,0.024241879175357126,0.7524992656048918
54,2020-03-15,3600,68,702.0,436.14285714285717,0.21386821232981137,0.1328733521047851,3053.0,8.0,6.571428571428571,0.002437244584955115,0.0020020223376417015,0.025373457018371987,0.9301134647334958
55,2020-03-16,4507,91,907.0,537.0,0.27632260481928617,0.16360004276511209,3759.0,23.0,9.285714285714286,0.007007078181745957,0.002828944607537187,0.03072669066032699,1.1452002993557848
56,2020-03-17,5906,117,1399.0,698.2857142857143,0.4262131467940258,0.21273663448679647,4888.0,26.0,12.285714285714286,0.007921044901104124,0.0037429113268953556,0.049136591721684386,1.4891564414075753
57,2020-03-18,8350,162,2444.0,1012.4285714285714,0.7445782207037877,0.30844200667101607,7087.0,45.0,17.857142857142858,0.013709500790372522,0.0054402780914176675,0.0957053721842196,2.159094046697113
58,2020-03-19,12393,212,4043.0,1532.142857142857,1.2317224821216912,0.46677586024363593,10725.0,50.0,24.142857142857142,0.01523277865596947,0.0073552559795966865,0.15833385357261986,3.267431021705451
59,2020-03-20,18012,277,5619.0,2255.4285714285716,1.711859665357849,0.6871288840584171,15788.0,65.0,32.42857142857143,0.01980261225276031,0.009879545014014486,0.22035302381478117,4.80990218840892
60,2020-03-21,24528,360,6516.0,3090.0,1.9851357144459412,0.9413857209389132,21630.0,83.0,42.857142857142854,0.02528641256890932,0.013056667419402404,0.25425683688049605,6.589700046572394
61,2020-03-22,33073,458,8545.0,4210.428571428572,2.6032818723051827,1.2827305295068234,29473.0,98.0,55.714285714285715,0.02985624616570016,0.016973667645223123,0.3413448085679103,8.979113706547764
62,2020-03-23,43505,579,10432.0,5571.142857142857,3.1781669387814704,1.6972797200728496,38998.0,121.0,69.71428571428571,0.036863324347446116,0.021238845668894574,0.4145491905660261,11.880958040509947
63,2020-03-24,53938,785,10433.0,6861.714285714285,3.1784715943545896,2.0904594982957874,48032.0,206.0,95.42857142857143,0.06275904806259422,0.029072846120536015,0.3931797782229378,14.633216488070511
64,2020-03-25,68572,1054,14634.0,8603.142857142857,4.458329657029145,2.6209954177708386,60222.0,269.0,127.42857142857143,0.08195234916911576,0.03882182446035648,0.5305359194750512,18.346967924395866
65,2020-03-26,85570,1353,16998.0,10453.857142857143,5.178535431883381,3.1848258391653657,73177.0,299.0,163.0,0.09109201636269744,0.04965885841846047,0.5638304213945271,22.29378087415756
66,2020-03-27,102900,1770,17330.0,12126.857142857143,5.279681082159018,3.694514612994104,84888.0,417.0,213.28571428571428,0.12704137399078538,0.06497868152389262,0.5096887738287386,25.86160229095873
67,2020-03-28,123966,2300,21066.0,14205.42857142857,6.417874303333058,4.327762982835121,99438.0,530.0,277.14285714285717,0.1614674537532764,0.08443311597880221,0.6332483698410165,30.294340879845844
68,2020-03-29,142486,2718,18520.0,15630.42857142857,5.642221214171092,4.76189717453025,109413.0,418.0,322.85714285714283,0.12734602956390476,0.09836022789283143,0.43413419169512935,33.33328022171175
69,2020-03-30,163955,3368,21469.0,17207.14285714286,6.540650499300171,5.242251968890065,120450.0,650.0,398.42857142857144,0.19802612252760313,0.12138348477571102,0.48035479435981454,36.69576378223045
70,2020-03-31,188461,4304,24506.0,19217.571428571428,7.465889474863757,5.854740237534231,134523.0,936.0,502.7142857142857,0.2851576164397485,0.15315470882959017,0.6124882686441664,40.983181662739625
71,2020-04-01,215391,5325,26930.0,20974.14285714286,8.204374584105157,6.3898895128308055,146819.0,1021.0,610.1428571428571,0.3110533401548966,0.18588342182755888,0.5351492752965745,44.72922658981563
