,Date,Acute,ICU,Year,Total,Population,AcuteDaily,Acute7Day,AcuteDaily100k,Acute100k7D,ICUDaily,ICU7Day,ICUDaily100K,ICU100k7D,TotalDaily,Total7Day,TotalDaily100k,Total100k7D
0,2022-05-14,23.0,3,22.0,26.0,590336.0,23.0,,3.89608629661752,,3,,0.5081851691240243,,26.0,,4.404271465741544,
1,2022-05-15,19.0,5,22.0,24.0,590336.0,19.0,,3.2185060711188203,,5,,0.8469752818733738,,24.0,,4.065481352992195,
2,2022-05-16,29.0,3,22.0,32.0,590336.0,29.0,,4.912456634865568,,3,,0.5081851691240243,,32.0,,5.420641803989592,
3,2022-05-17,25.0,2,22.0,27.0,590336.0,25.0,,4.234876409366869,,2,,0.3387901127493495,,27.0,,4.573666522116218,
4,2022-05-18,23.0,4,22.0,27.0,590336.0,23.0,,3.89608629661752,,4,,0.677580225498699,,27.0,,4.573666522116218,
5,2022-05-19,25.0,5,22.0,30.0,590336.0,25.0,,4.234876409366869,,5,,0.8469752818733738,,30.0,,5.081851691240243,
6,2022-05-20,26.0,6,22.0,32.0,590336.0,26.0,24.285714285714285,4.404271465741544,4.1138799405278155,6,4.0,1.0163703382480487,4.1138799405278155,32.0,28.285714285714285,5.420641803989592,4.791460166026515
7,2022-05-21,23.0,4,22.0,27.0,590336.0,23.0,24.285714285714285,3.89608629661752,4.1138799405278155,4,4.142857142857143,0.677580225498699,4.1138799405278155,27.0,28.428571428571427,4.573666522116218,4.815659459794325
8,2022-05-22,18.0,5,22.0,23.0,590336.0,18.0,24.142857142857142,3.049111014744146,4.089680646760005,5,4.142857142857143,0.8469752818733738,4.089680646760005,23.0,28.285714285714285,3.89608629661752,4.791460166026515
9,2022-05-23,20.0,2,22.0,22.0,590336.0,20.0,22.857142857142858,3.387901127493495,3.8718870028497094,2,4.0,0.3387901127493495,3.8718870028497094,22.0,26.857142857142858,3.726691240242845,4.549467228348408
10,2022-05-24,28.0,1,22.0,29.0,590336.0,28.0,23.285714285714285,4.743061578490893,3.944484884153141,1,3.857142857142857,0.16939505637467475,3.944484884153141,29.0,27.142857142857142,4.912456634865568,4.597865815884029
11,2022-05-25,26.0,1,22.0,27.0,590336.0,26.0,23.714285714285715,4.404271465741544,4.017082765456573,1,3.4285714285714284,0.16939505637467475,4.017082765456573,27.0,27.142857142857142,4.573666522116218,4.597865815884028
12,2022-05-26,26.0,1,22.0,27.0,590336.0,26.0,23.857142857142858,4.404271465741544,4.041282059224383,1,2.857142857142857,0.16939505637467475,4.041282059224383,27.0,26.714285714285715,4.573666522116218,4.525267934580597
13,2022-05-27,28.0,1,22.0,29.0,590336.0,28.0,24.142857142857142,4.743061578490893,4.089680646760004,1,2.142857142857143,0.16939505637467475,4.089680646760004,29.0,26.285714285714285,4.912456634865568,4.452670053277165
14,2022-05-28,33.0,1,22.0,34.0,590336.0,33.0,25.571428571428573,5.5900368603642665,4.331673584438112,1,1.7142857142857142,0.16939505637467475,4.331673584438112,34.0,27.285714285714285,5.759431916738942,4.622065109651841
15,2022-05-29,33.0,1,22.0,34.0,590336.0,33.0,27.714285714285715,5.5900368603642665,4.694662990955272,1,1.1428571428571428,0.16939505637467475,4.694662990955272,34.0,28.857142857142858,5.759431916738942,4.888257341097757
16,2022-05-30,31.0,1,22.0,32.0,590336.0,31.0,29.285714285714285,5.251246747614918,4.960855222401189,1,1.0,0.16939505637467475,4.960855222401189,32.0,30.285714285714285,5.420641803989592,5.130250278775864
17,2022-05-31,33.0,1,22.0,34.0,590336.0,33.0,30.0,5.5900368603642665,5.081851691240241,1,1.0,0.16939505637467475,5.081851691240241,34.0,31.0,5.759431916738942,5.251246747614917
18,2022-06-01,32.0,1,22.0,33.0,590336.0,32.0,30.857142857142858,5.420641803989592,5.227047453847106,1,1.0,0.16939505637467475,5.227047453847106,33.0,31.857142857142858,5.5900368603642665,5.396442510221781
19,2022-06-02,39.0,3,22.0,42.0,590336.0,39.0,32.714285714285715,6.606407198612316,5.541638272828645,3,1.2857142857142858,0.5081851691240243,5.541638272828645,42.0,34.0,7.114592367736339,5.759431916738942
20,2022-06-03,35.0,5,22.0,40.0,590336.0,35.0,33.714285714285715,5.928826973113617,5.711033329203319,5,1.8571428571428572,0.8469752818733738,5.711033329203319,40.0,35.57142857142857,6.77580225498699,6.025624148184859
21,2022-06-04,33.0,5,22.0,38.0,590336.0,33.0,33.714285714285715,5.5900368603642665,5.71103332920332,5,2.4285714285714284,0.8469752818733738,5.71103332920332,38.0,36.142857142857146,6.4370121422376405,6.122421323256101
22,2022-06-05,33.0,5,22.0,38.0,590336.0,33.0,33.714285714285715,5.5900368603642665,5.71103332920332,5,3.0,0.8469752818733738,5.71103332920332,38.0,36.714285714285715,6.4370121422376405,6.219218498327344
23,2022-06-06,32.0,4,22.0,36.0,590336.0,32.0,33.857142857142854,5.420641803989592,5.735232622971131,4,3.4285714285714284,0.677580225498699,5.735232622971131,36.0,37.285714285714285,6.098222029488292,6.316015673398587
24,2022-06-07,28.0,5,22.0,33.0,590336.0,28.0,33.142857142857146,4.743061578490893,5.614236154132078,5,4.0,0.8469752818733738,5.614236154132078,33.0,37.142857142857146,5.5900368603642665,6.2918163796307764
25,2022-06-08,25.0,7,22.0,32.0,590336.0,25.0,32.142857142857146,4.234876409366869,5.444841097757403,7,4.857142857142857,1.1857653946227233,5.444841097757403,32.0,37.0,5.420641803989592,6.267617085862966
26,2022-06-09,26.0,3,22.0,29.0,590336.0,26.0,30.285714285714285,4.404271465741544,5.130250278775864,3,4.857142857142857,0.5081851691240243,5.130250278775864,29.0,35.142857142857146,4.912456634865568,5.9530262668814276
27,2022-06-10,26.0,4,22.0,30.0,590336.0,26.0,29.0,4.404271465741544,4.912456634865568,4,4.714285714285714,0.677580225498699,4.912456634865568,30.0,33.714285714285715,5.081851691240243,5.71103332920332
28,2022-06-11,24.0,2,22.0,26.0,590336.0,24.0,27.714285714285715,4.065481352992195,4.694662990955272,2,4.285714285714286,0.3387901127493495,4.694662990955272,26.0,32.0,4.404271465741544,5.420641803989592
29,2022-06-12,28.0,2,22.0,30.0,590336.0,28.0,27.0,4.743061578490893,4.573666522116219,2,3.857142857142857,0.3387901127493495,4.573666522116219,30.0,30.857142857142858,5.081851691240243,5.227047453847107
30,2022-06-13,27.0,4,22.0,31.0,590336.0,27.0,26.285714285714285,4.573666522116218,4.452670053277165,4,3.857142857142857,0.677580225498699,4.452670053277165,31.0,30.142857142857142,5.251246747614918,5.1060509850080535
31,2022-06-14,30.0,2,22.0,32.0,590336.0,30.0,26.571428571428573,5.081851691240243,4.501068640812787,2,3.4285714285714284,0.3387901127493495,4.501068640812787,32.0,30.0,5.420641803989592,5.081851691240243
32,2022-06-15,24.0,4,22.0,28.0,590336.0,24.0,26.428571428571427,4.065481352992195,4.476869347044976,4,3.0,0.677580225498699,4.476869347044976,28.0,29.428571428571427,4.743061578490893,4.985054516169
33,2022-06-16,26.0,2,22.0,28.0,590336.0,26.0,26.428571428571427,4.404271465741544,4.476869347044976,2,2.857142857142857,0.3387901127493495,4.476869347044976,28.0,29.285714285714285,4.743061578490893,4.96085522240119
34,2022-06-17,28.0,2,22.0,30.0,590336.0,28.0,26.714285714285715,4.743061578490893,4.525267934580597,2,2.5714285714285716,0.3387901127493495,4.525267934580597,30.0,29.285714285714285,5.081851691240243,4.960855222401189
