,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown,ndate,AADailyCases,AA7Day,AADaily100k1,AA100k7D-County_2019,AADaily100k2,AA100k7D-2019Census,AADaily100k3,AA100k7D-2020Census
0,1,2020/03/15 10:00:00+00,0,2,3,1,0,0,1,0,1,0,0,0,2,0,0,12,9,0,0,0,0,0,0,0,0,2020-03-15 10:00:00+00:00,,,,,,,,
1,2,2020/03/16 10:00:00+00,0,1,4,1,0,0,1,0,1,0,0,0,2,1,0,10,15,0,0,0,1,0,0,0,0,2020-03-16 10:00:00+00:00,-1.0,,-0.17252385142245916,,-0.17264179934188947,,-0.1699925713246331,
2,3,2020/03/17 10:00:00+00,0,3,6,1,0,0,1,0,1,0,1,0,2,3,0,24,14,0,0,0,1,0,0,0,0,2020-03-17 10:00:00+00:00,2.0,,0.3450477028449183,,0.34528359868377895,,0.3399851426492662,
3,4,2020/03/18 10:00:00+00,0,4,10,4,0,0,1,0,2,0,1,0,3,8,0,31,20,0,0,0,1,0,0,0,0,2020-03-18 10:00:00+00:00,1.0,,0.17252385142245916,,0.17264179934188947,,0.1699925713246331,
4,5,2020/03/19 10:00:00+00,0,5,12,8,1,0,2,0,2,0,1,0,3,16,0,33,23,0,0,0,1,0,0,0,0,2020-03-19 10:00:00+00:00,1.0,,0.17252385142245916,,0.17264179934188947,,0.1699925713246331,
5,6,2020/03/20 10:00:00+00,0,10,13,11,1,0,3,0,2,0,1,0,5,18,0,51,31,0,0,0,1,0,1,1,0,2020-03-20 10:00:00+00:00,5.0,,0.8626192571122958,,0.8632089967094474,,0.8499628566231656,
6,7,2020/03/21 10:00:00+00,0,15,19,15,1,0,3,0,4,0,1,0,5,19,0,68,36,0,0,0,1,0,2,1,0,2020-03-21 10:00:00+00:00,5.0,,0.8626192571122958,,0.8632089967094474,,0.8499628566231656,
7,8,2020/03/22 10:00:00+00,0,18,28,24,2,1,4,1,4,0,1,0,5,24,0,83,40,0,1,1,1,1,2,2,0,2020-03-22 10:00:00+00:00,3.0,2.2857142857142856,0.5175715542673776,0.3943402318227638,0.5179253980256684,0.39460982706717596,0.5099777139738993,0.3885544487420186
8,9,2020/03/23 10:00:00+00,0,20,35,31,2,1,5,1,5,0,2,3,5,26,0,93,47,1,1,1,1,2,4,2,0,2020-03-23 10:00:00+00:00,2.0,2.7142857142857144,0.3450477028449183,0.468279025289532,0.34528359868377895,0.46859916964227144,0.3399851426492662,0.46140840788114706
9,10,2020/03/24 10:00:00+00,0,24,42,41,3,1,5,3,5,0,4,3,5,30,0,107,63,1,1,2,1,2,4,2,0,2020-03-24 10:00:00+00:00,4.0,3.0,0.6900954056898366,0.5175715542673774,0.6905671973675579,0.5179253980256684,0.6799702852985324,0.5099777139738993
10,11,2020/03/25 10:00:00+00,0,31,51,53,3,1,5,4,8,0,7,3,5,35,1,127,76,1,1,2,1,2,4,2,0,2020-03-25 10:00:00+00:00,7.0,3.857142857142857,1.207666959957214,0.6654491412009139,1.2084925953932262,0.6659040831758594,1.1899479992724318,0.6556856322521564
11,12,2020/03/26 10:00:00+00,0,41,81,72,7,1,7,4,10,0,14,3,9,49,1,164,101,1,1,4,1,2,5,2,0,2020-03-26 10:00:00+00:00,10.0,5.142857142857143,1.7252385142245916,0.8872655216012186,1.7264179934188948,0.8878721109011458,1.6999257132463312,0.8742475096695417
12,13,2020/03/27 10:00:00+00,0,63,103,88,9,1,9,9,17,0,15,3,18,62,2,208,148,1,1,4,1,5,5,2,0,2020-03-27 10:00:00+00:00,22.0,7.571428571428571,3.795524731294101,1.3062520179129051,3.798119585521568,1.3071450521600203,3.7398365691419286,1.2870866114579367
13,14,2020/03/28 10:00:00+00,0,88,141,112,8,1,10,13,21,0,22,3,21,73,2,255,196,1,1,8,2,6,6,2,0,2020-03-28 10:00:00+00:00,25.0,10.428571428571429,4.313096285561478,1.7991773076913595,4.316044983547236,1.80040733599399,4.249814283115827,1.7727796723854596
14,15,2020/03/29 10:00:00+00,0,99,162,129,10,3,82,13,28,0,24,3,23,81,3,301,247,4,1,8,3,6,6,2,0,2020-03-29 10:00:00+00:00,11.0,11.571428571428571,1.8977623656470506,1.9963474236027416,1.899059792760784,1.9977122495275783,1.8699182845709643,1.967056896756469
