,OBJECTID,DATE,Count_,Daily Reported,7-Day Avg,Daily100k,7Day,100k7D,100k7DDiff,TotalNewCasesPast7Days,TotalNewCasesPast7Days100k
38,39,2020-04-11,7694,726,652.71,12.008574717815035,652.7142857142857,10.796375026701474,0.8483034875434061,4569.0,75.57462518691032
39,40,2020-04-12,8225,531,659.43,8.78313109526141,659.4285714285714,10.907434257661196,0.11105923095972159,4616.0,76.35203980362837
40,41,2020-04-13,8936,711,698.71,11.760463669926294,698.7142857142857,11.557248906893614,0.6498146492324182,4891.0,80.90074234825528
41,42,2020-04-14,9472,536,728.71,8.86583477789099,728.7142857142857,12.053471002671092,0.4962220957774779,5101.0,84.37429701869765
42,43,2020-04-15,10032,560,643.29,9.262812454512975,643.2857142857143,10.640419510885696,-1.4130514917853958,4503.0,74.48293657619986
43,44,2020-04-16,10784,752,657.0,12.438633867488852,657.0,10.86726389752683,0.22684438664113316,4599.0,76.07084728268781
44,45,2020-04-17,11572,788,657.71,13.034100382421828,657.7142857142857,10.879078709331054,0.011814811804224945,4604.0,76.1535509653174
45,46,2020-04-18,12308,736,659.14,12.173982083074195,659.1428571428571,10.902708332939508,0.023629623608453443,4614.0,76.31895833057654
46,47,2020-04-19,12830,522,657.86,8.634264466528165,657.8571428571429,10.8814416716919,-0.021266661247608454,4605.0,76.1700917018433
47,48,2020-04-20,13684,854,678.29,14.125788993132286,678.2857142857143,11.219345289292756,0.3379036176008565,4748.0,78.53541702504928
48,49,2020-04-21,14193,509,674.43,8.419234891691257,674.4285714285714,11.155545305549937,-0.06379998374281826,4721.0,78.08881713884956
49,50,2020-04-22,14775,582,677.57,9.626708658083126,677.5714285714286,11.20753047748853,0.05198517193859331,4743.0,78.45271334241971
50,51,2020-04-23,15737,962,707.57,15.912188537931218,707.5714285714286,11.703752573266012,0.49622209577748144,4953.0,81.92626801286208
51,52,2020-04-24,16616,879,720.57,14.539307406280187,720.5714285714286,11.91878214810292,0.2150295748369082,5044.0,83.43147503672043
52,53,2020-04-25,17766,1150,779.71,19.02184700480343,779.7142857142857,12.89704856549281,0.9782664173898894,5458.0,90.27933995844967
53,54,2020-04-26,18581,815,821.57,13.480700268621561,821.5714285714286,13.589396537220438,0.692347971727628,5751.0,95.12577576054306
54,55,2020-04-27,19487,906,829.0,14.985907292479919,829.0,13.712270579984386,0.12287404276394831,5803.0,95.9858940598907
55,56,2020-04-28,20113,626,845.71,10.354501065223433,845.7142857142857,13.988737176203268,0.2764665962188815,5920.0,97.92116023342287
56,57,2020-04-29,20849,736,867.71,12.173982083074195,867.7142857142857,14.35263337977342,0.3638962035701532,6074.0,100.46843365841396
57,58,2020-04-30,21742,893,857.86,14.770877717643012,857.8571428571429,14.189588976875104,-0.16304440289831668,6005.0,99.32712283812573
58,59,2020-05-01,23472,1730,979.43,28.61547418983472,979.4285714285714,16.200469945954325,2.0108809690792206,6856.0,113.40328962168027
59,60,2020-05-02,24473,1001,958.14,16.557277262441943,958.1428571428571,15.8483885541884,-0.3520813917659247,6707.0,110.9387198793188
60,61,2020-05-03,25462,989,983.0,16.35878842413095,983.0,16.259544004975453,0.41115545078705296,6881.0,113.81680803482818
61,62,2020-05-04,26408,946,988.71,15.64753675351656,988.7142857142857,16.35406249940926,0.09451849443380667,6921.0,114.47843749586481
62,63,2020-05-05,27117,709,1000.57,11.727382196874462,1000.5714285714286,16.550188375359408,0.1961258759501483,7004.0,115.85131862751584
63,64,2020-05-06,28163,1046,1044.86,17.30161040610816,1044.857142857143,17.2827067072214,0.7325183318619928,7314.0,120.97894695054983
64,65,2020-05-07,29374,1211,1090.29,20.030831932884308,1090.2857142857142,18.034128737970157,0.7514220307487562,7632.0,126.2389011657911
65,66,2020-05-08,30485,1111,1001.86,18.376758280292705,1001.8571428571429,16.571455036607013,-1.4626737013631441,7013.0,116.0001852562491
66,67,2020-05-09,31534,1049,1008.71,17.35123261568591,1008.7142857142857,16.68487722992758,0.11342219332056658,7061.0,116.79414060949306
67,68,2020-05-10,32587,1053,1017.86,17.417395561789576,1017.8571428571429,16.836106821021666,0.1512295910940864,7125.0,117.8527477471517
68,69,2020-05-11,33373,786,995.0,13.001018909369996,995.0,16.458032843286446,-0.37807397773521956,6965.0,115.20622990300512
69,70,2020-05-12,34061,688,992.0,11.380026729830226,992.0,16.408410633708694,-0.049622209577751875,6944.0,114.85887443596087
70,71,2020-05-13,34812,751,949.86,12.422093130962935,949.8571428571429,15.711336737259378,-0.6970738964493162,6649.0,109.97935716081565
71,72,2020-05-14,35903,1091,932.71,18.045943549774385,932.7142857142857,15.42778125395796,-0.2835554833014182,6529.0,107.99446877770573
72,73,2020-05-15,36986,1083,928.71,17.913617657567055,928.7142857142857,15.361618307854297,-0.06616294610366324,6501.0,107.53132815498009
73,74,2020-05-16,37968,982,919.14,16.243003268449538,919.1428571428571,15.203299829677674,-0.15831847817662315,6434.0,106.42309880774371
74,75,2020-05-17,38804,836,888.14,13.8280557356658,888.1428571428571,14.690536997374277,-0.5127628323033964,6217.0,102.83375898161994
75,76,2020-05-18,39762,958,912.71,15.846025591827553,912.7142857142857,15.096966523439642,0.40642952606536475,6389.0,105.6787656640775
76,77,2020-05-19,41546,1784,1069.29,29.50867396223419,1069.2857142857142,17.686773270925922,2.5898067474862803,7485.0,123.80741289648145
77,78,2020-05-20,42323,777,1073.0,12.852152280636751,1073.0,17.748210292307895,0.06143702138197327,7511.0,124.23747204615528
78,79,2020-05-21,43531,1208,1089.71,19.98120972330656,1089.7142857142858,18.02467688852678,0.27646659621888503,7628.0,126.17273821968745
79,80,2020-05-22,44424,893,1062.57,14.770877717643012,1062.5714285714287,17.5757140399662,-0.4489628485605799,7438.0,123.0299982797634
80,81,2020-05-23,45495,1071,1075.29,17.715128819256066,1075.2857142857142,17.78601769008142,0.21030365011521823,7527.0,124.50212383056991
81,82,2020-05-24,46313,818,1072.71,13.53032247819931,1072.7142857142858,17.743484367586206,-0.042533322495213355,7509.0,124.20439057310344
82,83,2020-05-25,47152,839,1055.71,13.877677945243548,1055.7142857142858,17.462291846645634,-0.28119252094057146,7390.0,122.23604292651943
83,84,2020-05-26,47687,535,877.29,8.849294041365074,877.2857142857143,14.510951857950047,-2.9513399886955867,6141.0,101.57666300565033
84,85,2020-05-27,48423,736,871.43,12.173982083074195,871.4285714285714,14.414070401155396,-0.09688145679465165,6100.0,100.89849280808777
85,86,2020-05-28,49709,1286,882.57,21.27138717232801,882.5714285714286,14.598381465301316,0.1843110641459198,6178.0,102.18867025710921
86,87,2020-05-29,50988,1279,937.71,21.155602016646597,937.7142857142857,15.510484936587543,0.9121034712862279,6564.0,108.57339455611279
87,88,2020-05-30,52015,1027,931.43,16.98733641211576,931.4285714285714,15.406514592710355,-0.1039703438771884,6520.0,107.84560214897249
88,89,2020-05-31,52778,763,923.57,12.620581969273928,923.5714285714286,15.276551662863872,-0.12996292984648328,6465.0,106.93586164004711
89,90,2020-06-01,53327,549,882.14,9.080864352727898,882.1428571428571,14.591292578218779,-0.685259084645093,6175.0,102.13904804753146
90,91,2020-06-02,54175,848,926.86,14.026544573976789,926.8571428571429,15.33089979716331,0.7396072189445313,6488.0,107.31629858014317
91,92,2020-06-03,54982,807,937.0,13.348374376414235,937.0,15.498670124783317,0.16777032762000665,6559.0,108.49069087348322
92,93,2020-06-04,55858,876,878.43,14.489685196702439,878.4285714285714,14.529855556836807,-0.9688145679465094,6149.0,101.70898889785764
93,94,2020-06-05,56770,912,826.0,15.085151711635415,826.0,13.662648370406638,-0.8672071864301696,5782.0,95.63853859284647
94,95,2020-06-06,57482,712,781.0,11.77700440645221,781.0,12.918315226740418,-0.7443331436662195,5467.0,90.42820658718291
95,96,2020-06-07,57973,491,742.14,8.121501634224769,742.1428571428571,12.275589464590537,-0.6427257621498814,5195.0,85.92912625213376
96,97,2020-06-08,58404,431,725.29,7.129057442669808,725.2857142857143,11.99675990601081,-0.27882955857972647,5077.0,83.97731934207566
97,98,2020-06-09,58904,500,675.57,8.270368262958012,675.5714285714286,11.174449004436699,-0.8223109015741112,4729.0,78.22114303105688
98,99,2020-06-10,59465,561,640.43,9.27935319103889,640.4285714285714,10.593160263668791,-0.5812887407679082,4483.0,74.15212184568155
99,100,2020-06-11,60197,732,619.86,12.107819136970532,619.8571428571429,10.252893683707091,-0.34026657996169973,4339.0,71.77025578594964
100,101,2020-06-12,60613,416,549.0,6.880946394781067,549.0,9.080864352727898,-1.1720293309791927,3843.0,63.56605046909529
101,102,2020-06-13,61305,692,546.14,11.44618967593389,546.1428571428571,9.033605105510997,-0.047259247216901556,3823.0,63.235235738576975
102,103,2020-06-14,61701,396,532.57,6.5501316642627465,532.5714285714286,8.809123681230707,-0.22448142428028994,3728.0,61.66386576861495
103,104,2020-06-15,62032,331,518.29,5.474983790078205,518.2857142857143,8.572827445146192,-0.2362962360845149,3628.0,60.00979211602334
104,105,2020-06-16,62409,377,500.71,6.235857670270342,500.7142857142857,8.282183074762239,-0.2906443703839532,3505.0,57.975281523335674
105,106,2020-06-17,62969,560,500.57,9.262812454512975,500.57142857142856,8.279820112401394,-0.002362962360844989,3504.0,57.958740786809756
106,107,2020-06-18,63229,260,433.14,4.300591496738167,433.14285714285717,7.1645018780824845,-1.1153182343189094,3032.0,50.15151314657739
107,108,2020-06-19,63548,319,419.29,5.276494951767212,419.2857142857143,6.9352945290805055,-0.22920734900197903,2935.0,48.547061703563536
108,109,2020-06-20,63956,408,378.71,6.748620502573739,378.7142857142857,6.264213218600484,-0.6710813104800213,2651.0,43.849492530203385
109,110,2020-06-21,64306,350,372.14,5.789257784070609,372.14285714285717,6.155516950001607,-0.10869626859887749,2605.0,43.08861865001125
110,111,2020-06-22,64603,297,367.29,4.91259874819706,367.2857142857143,6.075176229732873,-0.08034072026873407,2571.0,42.5262336081301
111,112,2020-06-23,65007,404,371.14,6.682457556470074,371.14285714285717,6.138976213475691,0.06379998374281826,2598.0,42.972833494329834
112,113,2020-06-24,65337,330,338.29,5.458443053552289,338.2857142857143,5.595494870481308,-0.543481342994383,2368.0,39.168464093369145
113,114,2020-06-25,65777,440,364.0,7.277924071403051,364.0,6.020828095433434,0.42533322495212644,2548.0,42.14579666803404
114,115,2020-06-26,66115,338,366.71,5.590768945759617,366.7142857142857,6.065724380289491,0.04489628485605657,2567.0,42.46007066202644
115,116,2020-06-27,66450,335,356.29,5.541146736181869,356.2857142857143,5.893228127947795,-0.17249625234169574,2494.0,41.25259689563457
116,117,2020-06-28,66777,327,353.0,5.40882084397454,353.0,5.838879993648357,-0.0543481342994383,2471.0,40.8721599555385
117,118,2020-06-29,67254,477,378.71,7.889931322861944,378.7142857142857,6.264213218600483,0.42533322495212644,2651.0,43.849492530203385
118,119,2020-06-30,67559,305,364.57,5.044924640404388,364.57142857142856,6.030279944876814,-0.233933273723669,2552.0,42.2119596141377
119,120,2020-07-01,67918,359,368.71,5.9381244128038535,368.7142857142857,6.098805853341323,0.06852590846450912,2581.0,42.69164097338926
120,121,2020-07-02,68423,505,378.0,8.353071945587594,378.0,6.252398406796258,0.15359255345493494,2646.0,43.76678884757381
