,ReportDate,DataDate,Year,Pop1,AnneArundel,AADailyCases,AAWeeklyCases,AA7Day,AAWeekly100k,AAWeekly100k1,AADaily100k2020Census,AA100k7D-2020Census,AACounty100k2020ACS,AA100k7D-2020ACS,AADaily100k2019ACS,AA100k7D-2019ACS,AADaily100k2019PEP,AA100k7D-2019PEP,AADaily100kCounty,AA100k7D-County,AADaily100kCalc,AA100k7D-Calc
0,2020-03-04,2020-03-03,2020.0,588769.0,0,,,,,,,,,,,,,,,,,
1,2020-03-05,2020-03-04,2020.0,588769.0,0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2,2020-03-06,2020-03-05,2020.0,588769.0,0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
3,2020-03-07,2020-03-06,2020.0,588769.0,0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
4,2020-03-08,2020-03-07,2020.0,588769.0,0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
5,2020-03-09,2020-03-08,2020.0,588769.0,0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
6,2020-03-10,2020-03-09,2020.0,588769.0,0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
7,2020-03-11,2020-03-10,2020.0,588769.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-12,2020-03-11,2020.0,588769.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-13,2020-03-12,2020.0,588769.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-14,2020-03-13,2020.0,588769.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-15,2020-03-14,2020.0,588769.0,2,2.0,2.0,0.2857142857142857,0.33969179763200846,0.3450477028449183,0.3399851426492662,0.04856930609275232,0.34757160409508864,0.04965308629929838,0.3500940877860925,0.05001344111229893,0.34528359868377895,0.049326228383396994,0.3450477028449183,0.04929252897784547,0.33969179763200846,0.048527399661715494
12,2020-03-16,2020-03-15,2020.0,588769.0,1,-1.0,1.0,0.14285714285714285,0.16984589881600423,0.17252385142245916,-0.1699925713246331,0.02428465304637616,-0.17378580204754432,0.02482654314964919,-0.17504704389304626,0.025006720556149466,-0.17264179934188947,0.024663114191698497,-0.17252385142245916,0.024646264488922737,-0.16984589881600423,0.024263699830857747
13,2020-03-17,2020-03-16,2020.0,588769.0,3,2.0,3.0,0.42857142857142855,0.5095376964480127,0.5175715542673776,0.3399851426492662,0.07285395913912848,0.34757160409508864,0.07447962944894757,0.3500940877860925,0.0750201616684484,0.34528359868377895,0.07398934257509548,0.3450477028449183,0.07393879346676821,0.33969179763200846,0.07279109949257324
14,2020-03-18,2020-03-17,2020.0,588769.0,4,1.0,4.0,0.5714285714285714,0.6793835952640169,0.6900954056898366,0.1699925713246331,0.09713861218550464,0.17378580204754432,0.09930617259859675,0.17504704389304626,0.10002688222459787,0.17264179934188947,0.09865245676679399,0.17252385142245916,0.09858505795569095,0.16984589881600423,0.09705479932343099
15,2020-03-19,2020-03-18,2020.0,588769.0,5,1.0,5.0,0.7142857142857143,0.8492294940800211,0.8626192571122958,0.1699925713246331,0.12142326523188078,0.17378580204754432,0.12413271574824594,0.17504704389304626,0.12503360278074732,0.17264179934188947,0.12331557095849248,0.17252385142245916,0.12323132244461368,0.16984589881600423,0.12131849915428873
16,2020-03-20,2020-03-19,2020.0,588769.0,10,5.0,10.0,1.4285714285714286,1.6984589881600423,1.7252385142245916,0.8499628566231656,0.24284653046376162,0.8689290102377216,0.24826543149649188,0.8752352194652313,0.25006720556149464,0.8632089967094474,0.24663114191698496,0.8626192571122958,0.24646264488922737,0.8492294940800211,0.24263699830857746
17,2020-03-21,2020-03-20,2020.0,588769.0,15,5.0,15.0,2.142857142857143,2.5476884822400634,2.5878577713368873,0.8499628566231656,0.3642697956956424,0.8689290102377216,0.37239814724473785,0.8752352194652313,0.37510080834224196,0.8632089967094474,0.3699467128754774,0.8626192571122958,0.369693967333841,0.8492294940800211,0.3639554974628662
18,2020-03-22,2020-03-21,2020.0,588769.0,18,3.0,16.0,2.2857142857142856,2.7175343810560677,2.7603816227593465,0.5099777139738993,0.3885544487420186,0.5213574061426329,0.39722469039438707,0.5251411316791388,0.40010752889839146,0.5179253980256684,0.394609827067176,0.5175715542673776,0.3943402318227638,0.5095376964480127,0.3882191972937239
19,2020-03-23,2020-03-22,2020.0,588769.0,20,2.0,19.0,2.7142857142857144,3.22707207750408,3.2779531770267236,0.3399851426492662,0.46140840788114706,0.34757160409508864,0.47170431984333455,0.3500940877860925,0.47512769056683984,0.34528359868377895,0.46859916964227144,0.3450477028449183,0.468279025289532,0.33969179763200846,0.4610102967862972
20,2020-03-24,2020-03-23,2020.0,588769.0,24,4.0,21.0,3.0,3.566763875136089,3.6230008798716424,0.6799702852985324,0.5099777139738993,0.6951432081901773,0.521357406142633,0.700188175572185,0.5251411316791388,0.6905671973675579,0.5179253980256684,0.6900954056898366,0.5175715542673774,0.6793835952640169,0.5095376964480127
21,2020-03-25,2020-03-24,2020.0,588769.0,31,7.0,27.0,3.857142857142857,4.585839268032114,4.6581439884063975,1.1899479992724318,0.6556856322521564,1.2165006143328103,0.6703166650405281,1.2253293072513238,0.6751814550160355,1.2084925953932262,0.6659040831758594,1.207666959957214,0.6654491412009139,1.1889212917120295,0.6551198954331591
22,2020-03-26,2020-03-25,2020.0,588769.0,41,10.0,36.0,5.142857142857143,6.114452357376154,6.21085865120853,1.6999257132463312,0.8742475096695417,1.7378580204754432,0.8937555533873708,1.7504704389304626,0.9002419400213808,1.7264179934188948,0.8878721109011458,1.7252385142245916,0.8872655216012186,1.6984589881600423,0.8734931939108789
23,2020-03-27,2020-03-26,2020.0,588769.0,63,22.0,53.0,7.571428571428571,9.001832637248226,9.143764125390335,3.7398365691419286,1.2870866114579365,3.823287645045975,1.315806786931407,3.8510349656470177,1.3253561894759218,3.798119585521568,1.3071450521600203,3.795524731294101,1.3062520179129051,3.736609773952093,1.2859760910354605
24,2020-03-28,2020-03-27,2020.0,588769.0,88,25.0,73.0,10.428571428571429,12.39875061356831,12.59424115383952,4.249814283115827,1.7727796723854594,4.344645051188608,1.8123376499243908,4.376176097326157,1.825490600598911,4.316044983547236,1.80040733599399,4.313096285561478,1.7991773076913595,4.246147470400106,1.7712500876526158
25,2020-03-29,2020-03-28,2020.0,588769.0,99,11.0,81.0,11.571428571428571,13.757517804096343,13.974431965219193,1.8699182845709643,1.9670568967564688,1.9116438225229875,2.0109499951215843,1.9255174828235089,2.025544365048107,1.899059792760784,1.9977122495275783,1.8977623656470506,1.9963474236027416,1.8683048869760466,1.9653596862994775
26,2020-03-30,2020-03-29,2020.0,588769.0,110,11.0,90.0,12.857142857142858,15.286130893440381,15.527146628021324,1.8699182845709643,2.185618774173854,1.9116438225229875,2.234388883468427,1.9255174828235089,2.250604850053452,1.899059792760784,2.219680277252864,1.8977623656470506,2.2181638040030465,1.8683048869760466,2.183732984777197
27,2020-03-31,2020-03-30,2020.0,588769.0,127,17.0,103.0,14.714285714285714,17.494127578048438,17.769956696513294,2.8898737125187632,2.501319263776744,2.954358634808253,2.5571339444138665,2.9757997461817864,2.5756922172833954,2.9349105888121207,2.540300761744945,2.9329054741818057,2.538565242359042,2.887380279872072,2.4991610825783477
28,2020-04-01,2020-03-31,2020.0,588769.0,158,31.0,127.0,18.142857142857142,21.570429149632538,21.910529130652314,5.269769711063627,3.0841509368897726,5.387359863473874,3.152970980005447,5.426458360684434,3.1758535106309824,5.351895779598573,3.1322155023457086,5.348239394096233,3.1300755900931874,5.265222863296131,3.081489878518934
29,2020-04-02,2020-04-01,2020.0,588769.0,206,48.0,165.0,23.571428571428573,28.024573304640697,28.466435484705762,8.15964342358239,4.006967752652066,8.341718498282127,4.096379619692116,8.40225810686622,4.126108891764662,8.286806368410694,4.069413841630252,8.28114486827804,4.066633640672252,8.152603143168204,4.003510472091528
30,2020-04-03,2020-04-02,2020.0,588769.0,249,43.0,186.0,26.571428571428573,31.59133717977679,32.0894363645774,7.309680566959225,4.516945466625965,7.4727894880444055,4.6177370258347485,7.527022887400989,4.651250023443801,7.423597371701247,4.58733923965592,7.418525611165743,4.584205194939629,7.303373649088182,4.513048168539541
31,2020-04-04,2020-04-03,2020.0,588769.0,289,40.0,201.0,28.714285714285715,34.139025662016856,34.67729413591429,6.799702852985325,4.881215262321609,6.951432081901773,4.990135173079487,7.0018817557218505,5.026350831786043,6.905671973675579,4.9572859525313975,6.9009540568983665,4.953899162273471,6.793835952640169,4.877003666002408
32,2020-04-05,2020-04-04,2020.0,588769.0,319,30.0,220.0,31.428571428571427,37.36609773952093,37.95524731294101,5.099777139738993,5.342623670202755,5.21357406142633,5.461839492922821,5.251411316791388,5.501478522352882,5.179253980256684,5.425885122173669,5.175715542673775,5.422178187563001,5.095376964480127,5.338013962788705
33,2020-04-06,2020-04-05,2020.0,588769.0,343,24.0,233.0,33.285714285714285,39.57409442412899,40.19805738143298,4.079821711791195,5.6583241598056455,4.170859249141063,5.784584553868261,4.20112905343311,5.826565889582826,4.143403184205347,5.74650560666575,4.14057243413902,5.7425796259189985,4.076301571584102,5.653442060589855
34,2020-04-07,2020-04-06,2020.0,588769.0,370,27.0,243.0,34.714285714285715,41.27255341228903,41.923295895657574,4.589799425765094,5.901170690269407,4.692216655283697,6.032849985364753,4.726270185112249,6.076633095144321,4.6613285822310155,5.993136748582734,4.6581439884063975,5.989042270808225,4.585839268032114,5.896079058898432
35,2020-04-08,2020-04-07,2020.0,588769.0,466,96.0,308.0,44.0,52.312536835329304,53.137346238117416,16.31928684716478,7.479673138283857,16.683436996564254,7.64657529009195,16.80451621373244,7.7020699312940355,16.57361273682139,7.596239171043137,16.56228973655608,7.591049462588203,16.305206286336407,7.473219547904186
36,2020-04-09,2020-04-08,2020.0,588769.0,505,39.0,299.0,42.714285714285715,50.78392374598527,51.584631575315285,6.629710281660691,7.261111260866471,6.7776462798542285,7.423136401745109,6.826834711828805,7.47700944628869,6.733030174333689,7.37427114331785,6.728430205475907,7.369233082187899,6.623990053824165,7.254846249426466
37,2020-04-10,2020-04-09,2020.0,588769.0,554,49.0,305.0,43.57142857142857,51.80299913888129,52.61977468385004,8.329635994907022,7.406819179144729,8.515504300329672,7.5720956606430025,8.577305150759265,7.627049769625587,8.459448167752583,7.52224982846804,8.453668719700499,7.517110669121435,8.322449041984209,7.4004284484116125
38,2020-04-11,2020-04-10,2020.0,588769.0,615,61.0,326.0,46.57142857142857,55.36976301401738,56.242775563721686,10.36954685080262,7.916796893118628,10.600933924900204,8.093453066785637,10.67786967747582,8.152190901304726,10.531149759855257,8.040175226493709,10.523954936770009,8.034682223388812,10.360599827776259,7.9099661448596255
39,2020-04-12,2020-04-11,2020.0,588769.0,659,44.0,340.0,48.57142857142857,57.74760559744144,58.65810948363612,7.479673138283857,8.256782035767895,7.64657529009195,8.441024670880724,7.7020699312940355,8.50228498909082,7.596239171043136,8.385458825177489,7.591049462588202,8.37972992623373,7.473219547904186,8.249657942491634
40,2020-04-13,2020-04-12,2020.0,588769.0,724,65.0,381.0,54.42857142857143,64.71128744889762,65.73158739195694,11.049517136101153,9.252452810669316,11.296077133090382,9.458912940016342,11.378057853048007,9.527560531892945,11.221716957222815,9.396646507037127,11.214050342459846,9.390226770279563,11.039983423040276,9.2444696355568
41,2020-04-14,2020-04-13,2020.0,588769.0,783,59.0,413.0,59.0,70.14635621100976,71.25235063747563,10.029561708153354,10.029561708153354,10.253362320805115,10.253362320805115,10.327775589689729,10.327775589689727,10.185866161171479,10.185866161171479,10.178907233925091,10.17890723392509,10.02090803014425,10.02090803014425
42,2020-04-15,2020-04-14,2020.0,588769.0,845,62.0,379.0,54.142857142857146,64.37159565126561,65.38653968911203,10.539539422127254,9.203883504576565,10.774719726947747,9.409259853717042,10.852916721368867,9.477547090780646,10.703791559197146,9.34732027865373,10.696478788192467,9.340934241301719,10.530445726592262,9.195942235895087
43,2020-04-16,2020-04-15,2020.0,588769.0,896,51.0,391.0,55.857142857142854,66.40974643705766,67.45682590618152,8.66962113755629,9.495299341133078,8.863075904424761,9.707178371512834,8.927399238545359,9.77762773745444,8.804731766436362,9.643277648954111,8.798716422545416,9.636689415168789,8.662140839616217,9.48710663386538
44,2020-04-17,2020-04-16,2020.0,588769.0,966,70.0,412.0,58.857142857142854,69.97651031219375,71.07982678605318,11.899479992724318,10.005277055106978,12.165006143328101,10.228535777655466,12.253293072513237,10.302768869133578,12.084925953932261,10.161203046979779,12.076669599572142,10.154260969436168,11.889212917120297,9.996644330313393
45,2020-04-18,2020-04-17,2020.0,588769.0,1005,39.0,390.0,55.714285714285715,66.23990053824166,67.28430205475907,6.629710281660691,9.471014688086703,6.7776462798542285,9.682351828363183,6.826834711828805,9.752621016898292,6.733030174333689,9.618614534762413,6.728430205475907,9.612043150679867,6.623990053824165,9.462842934034523
46,2020-04-19,2020-04-18,2020.0,588769.0,1047,42.0,388.0,55.42857142857143,65.90020874060964,66.93925435191414,7.139687995634591,9.42244538199395,7.299003685996861,9.632698742063885,7.351975843507943,9.702607575785992,7.2509555723593575,9.569288306379017,7.246001759743285,9.562750621702023,7.133527750272178,9.414315534372806
47,2020-04-20,2020-04-19,2020.0,588769.0,1098,51.0,374.0,53.42857142857143,63.52236615718559,64.52392043199973,8.66962113755629,9.082460239344684,8.863075904424761,9.285127137968797,8.927399238545359,9.3525134879999,8.804731766436362,9.224004707695238,8.798716422545416,9.217702918857103,8.662140839616217,9.074623736740799
48,2020-04-21,2020-04-20,2020.0,588769.0,1157,59.0,374.0,53.42857142857143,63.52236615718559,64.52392043199973,10.029561708153354,9.082460239344684,10.253362320805115,9.285127137968797,10.327775589689729,9.3525134879999,10.185866161171479,9.224004707695238,10.178907233925091,9.217702918857103,10.02090803014425,9.074623736740799
49,2020-04-22,2020-04-21,2020.0,588769.0,1190,33.0,345.0,49.285714285714285,58.59683509152146,59.5207287407484,5.609754853712893,8.378205300999776,5.734931467568963,8.56515738662897,5.776552448470527,8.627318591871566,5.697179378282352,8.50877439613598,5.693287096941152,8.502961248678345,5.60491466092814,8.370976441645924
50,2020-04-23,2020-04-22,2020.0,588769.0,1294,104.0,398.0,56.857142857142854,67.59866772876968,68.66449286613874,17.679227417761844,9.665291912457713,18.07372341294461,9.880964173560377,18.20489256487681,9.952674781347486,17.954747131556502,9.815919448296,17.94248054793575,9.809213266591248,17.66397347686444,9.656952532681386
51,2020-04-24,2020-04-23,2020.0,588769.0,1373,79.0,407.0,58.142857142857146,69.12728081811373,70.21720752894088,13.429413134646015,9.883853789875095,13.729078361756,10.10440306190722,13.828716467550654,10.177735266352832,13.638702148009267,10.037887476021286,13.629384262374273,10.031029646991554,13.417826006464335,9.875325831159104
52,2020-04-25,2020-04-24,2020.0,588769.0,1430,57.0,425.0,60.714285714285715,72.1845069968018,73.32263685454514,9.689576565504087,10.320977544709868,9.905790716710026,10.551280838600904,9.977681501903637,10.627856236363522,9.8405825624877,10.48182353147186,9.833859531080172,10.474662407792165,9.681216232512242,10.312072428114543
53,2020-04-26,2020-04-25,2020.0,588769.0,1510,80.0,463.0,66.14285714285714,78.63865115180997,79.87854320859859,13.59940570597065,11.243794360472164,13.902864163803546,11.494689478287572,14.003763511443701,11.578111617497203,13.811343947351158,11.419021870756401,13.801908113796733,11.411220458371227,13.587671905280338,11.234093021687139
54,2020-04-27,2020-04-26,2020.0,588769.0,1544,34.0,446.0,63.714285714285715,75.75127087193789,76.94563773441678,5.7797474250375265,10.830955258683769,5.908717269616506,11.072638244743539,5.951599492363573,11.152997368042662,5.8698211776242415,10.999748929497528,5.865810948363611,10.99223396205954,5.774760559744144,10.821610124562556
55,2020-04-28,2020-04-27,2020.0,588769.0,1571,27.0,414.0,59.142857142857146,70.31620210982575,71.4248744888981,4.589799425765094,10.053846361199732,4.692216655283697,10.278188863954764,4.726270185112249,10.352782310245876,4.6613285822310155,10.210529275363177,4.6581439884063975,10.203553498414013,4.585839268032114,10.045171729975108
56,2020-04-29,2020-04-28,2020.0,588769.0,1662,91.0,472.0,67.42857142857143,80.167264241154,81.43125787140073,15.469323990541614,11.462356237889548,15.814507986326532,11.718128366634417,15.92928099426721,11.803172102502547,15.71040374011194,11.640989898481688,15.699670479443784,11.633036838771531,15.455976792256386,11.45246632016486
